uf;segundos_depois;frequencia
AC;-1;2136
AC;18;1
AC;21;4
AC;22;6
AC;23;15
AC;24;36
AC;25;75
AC;26;157
AC;27;249
AC;28;409
AC;29;593
AC;30;811
AC;31;1075
AC;32;1436
AC;33;1709
AC;34;2015
AC;35;2161
AC;36;2722
AC;37;3007
AC;38;3244
AC;39;3464
AC;40;3613
AC;41;3877
AC;42;4160
AC;43;4146
AC;44;4348
AC;45;4294
AC;46;4518
AC;47;4371
AC;48;4583
AC;49;4499
AC;50;4499
AC;51;4497
AC;52;4592
AC;53;4560
AC;54;4449
AC;55;4416
AC;56;4398
AC;57;4366
AC;58;4136
AC;59;4245
AC;60;4175
AC;61;4189
AC;62;4075
AC;63;4062
AC;64;3859
AC;65;3826
AC;66;3767
AC;67;3639
AC;68;3717
AC;69;3649
AC;70;3497
AC;71;3368
AC;72;3348
AC;73;3278
AC;74;3083
AC;75;3154
AC;76;3166
AC;77;3037
AC;78;2961
AC;79;2904
AC;80;2809
AC;81;2752
AC;82;2655
AC;83;2754
AC;84;2571
AC;85;2592
AC;86;2523
AC;87;2443
AC;88;2444
AC;89;2390
AC;90;2293
AC;91;2223
AC;92;2273
AC;93;2183
AC;94;2227
AC;95;2130
AC;96;2028
AC;97;2105
AC;98;2033
AC;99;1959
AC;100;1863
AC;101;1867
AC;102;1821
AC;103;1891
AC;104;1874
AC;105;1726
AC;106;1676
AC;107;1712
AC;108;1681
AC;109;1645
AC;110;1475
AC;111;1598
AC;112;1572
AC;113;1539
AC;114;1494
AC;115;1465
AC;116;1453
AC;117;1441
AC;118;1408
AC;119;1327
AC;120;1306
AC;121;1380
AC;122;1336
AC;123;1300
AC;124;1299
AC;125;1213
AC;126;1195
AC;127;1229
AC;128;1223
AC;129;1160
AC;130;1223
AC;131;1105
AC;132;1108
AC;133;1092
AC;134;1119
AC;135;1101
AC;136;1093
AC;137;1104
AC;138;1046
AC;139;1030
AC;140;1084
AC;141;978
AC;142;1006
AC;143;977
AC;144;1007
AC;145;947
AC;146;929
AC;147;1004
AC;148;920
AC;149;891
AC;150;878
AC;151;860
AC;152;848
AC;153;777
AC;154;853
AC;155;811
AC;156;824
AC;157;762
AC;158;795
AC;159;829
AC;160;727
AC;161;744
AC;162;733
AC;163;744
AC;164;743
AC;165;717
AC;166;760
AC;167;698
AC;168;764
AC;169;694
AC;170;724
AC;171;654
AC;172;628
AC;173;659
AC;174;727
AC;175;651
AC;176;673
AC;177;664
AC;178;662
AC;179;642
AC;180;662
AC;181;664
AC;182;613
AC;183;597
AC;184;594
AC;185;593
AC;186;603
AC;187;583
AC;188;581
AC;189;610
AC;190;588
AC;191;563
AC;192;565
AC;193;551
AC;194;563
AC;195;563
AC;196;544
AC;197;517
AC;198;573
AC;199;506
AC;200;528
AC;201;483
AC;202;516
AC;203;529
AC;204;487
AC;205;476
AC;206;514
AC;207;522
AC;208;515
AC;209;473
AC;210;500
AC;211;461
AC;212;432
AC;213;484
AC;214;469
AC;215;484
AC;216;429
AC;217;465
AC;218;460
AC;219;449
AC;220;430
AC;221;461
AC;222;437
AC;223;401
AC;224;441
AC;225;444
AC;226;475
AC;227;376
AC;228;414
AC;229;404
