uf;segundos_depois;frequencia
AL;-1;6686
AL;19;1
AL;20;2
AL;21;7
AL;22;10
AL;23;43
AL;24;93
AL;25;178
AL;26;351
AL;27;700
AL;28;1279
AL;29;2002
AL;30;2998
AL;31;4450
AL;32;6275
AL;33;8421
AL;34;10444
AL;35;12768
AL;36;15300
AL;37;17660
AL;38;19394
AL;39;21167
AL;40;23269
AL;41;24715
AL;42;25799
AL;43;26648
AL;44;27339
AL;45;27526
AL;46;27957
AL;47;27985
AL;48;27646
AL;49;27653
AL;50;27170
AL;51;27032
AL;52;26253
AL;53;25576
AL;54;24884
AL;55;24576
AL;56;23703
AL;57;23352
AL;58;22802
AL;59;22188
AL;60;21386
AL;61;20834
AL;62;19976
AL;63;19822
AL;64;19269
AL;65;18580
AL;66;17940
AL;67;17310
AL;68;16863
AL;69;16355
AL;70;16001
AL;71;15782
AL;72;15167
AL;73;14994
AL;74;14448
AL;75;13913
AL;76;13694
AL;77;13435
AL;78;13075
AL;79;12876
AL;80;12600
AL;81;12127
AL;82;12224
AL;83;11850
AL;84;11561
AL;85;11276
AL;86;10948
AL;87;10648
AL;88;10484
AL;89;10273
AL;90;10109
AL;91;10001
AL;92;9717
AL;93;9396
AL;94;9315
AL;95;9121
AL;96;8862
AL;97;8904
AL;98;8378
AL;99;8482
AL;100;8206
AL;101;7970
AL;102;7864
AL;103;7743
AL;104;7551
AL;105;7387
AL;106;7195
AL;107;7108
AL;108;6910
AL;109;6855
AL;110;6775
AL;111;6538
AL;112;6440
AL;113;6316
AL;114;6088
AL;115;6003
AL;116;5798
AL;117;5824
AL;118;5645
AL;119;5431
AL;120;5462
AL;121;5391
AL;122;5219
AL;123;5114
AL;124;4909
AL;125;4993
AL;126;4707
AL;127;4634
AL;128;4617
AL;129;4416
AL;130;4443
AL;131;4415
AL;132;4167
AL;133;4102
AL;134;3980
AL;135;3948
AL;136;3834
AL;137;3863
AL;138;3718
AL;139;3685
AL;140;3611
AL;141;3418
AL;142;3532
AL;143;3389
AL;144;3441
AL;145;3328
AL;146;3392
AL;147;3177
AL;148;3186
AL;149;3142
AL;150;3065
AL;151;2926
AL;152;2906
AL;153;3019
AL;154;2928
AL;155;2771
AL;156;2812
AL;157;2674
AL;158;2581
AL;159;2653
AL;160;2562
AL;161;2573
AL;162;2622
AL;163;2523
AL;164;2457
AL;165;2400
AL;166;2428
AL;167;2276
AL;168;2338
AL;169;2316
AL;170;2319
AL;171;2231
AL;172;2144
AL;173;2188
AL;174;2172
AL;175;2182
AL;176;2107
AL;177;2101
AL;178;2002
AL;179;2013
AL;180;1966
AL;181;1990
AL;182;1869
AL;183;2019
AL;184;1899
AL;185;1932
AL;186;1848
AL;187;1824
AL;188;1806
AL;189;1846
AL;190;1760
AL;191;1687
AL;192;1763
AL;193;1768
AL;194;1658
