uf;segundos_depois;frequencia
AM;-1;7505
AM;19;2
AM;20;3
AM;21;12
AM;22;20
AM;23;36
AM;24;86
AM;25;179
AM;26;396
AM;27;732
AM;28;1276
AM;29;2278
AM;30;3483
AM;31;5080
AM;32;7203
AM;33;9810
AM;34;12526
AM;35;15862
AM;36;18875
AM;37;22043
AM;38;24937
AM;39;27348
AM;40;29581
AM;41;31502
AM;42;33217
AM;43;34598
AM;44;35356
AM;45;35753
AM;46;36169
AM;47;35706
AM;48;35369
AM;49;34879
AM;50;34890
AM;51;33863
AM;52;33354
AM;53;32526
AM;54;31826
AM;55;30620
AM;56;29630
AM;57;29087
AM;58;27794
AM;59;26912
AM;60;25859
AM;61;25115
AM;62;24017
AM;63;23413
AM;64;22498
AM;65;21592
AM;66;21164
AM;67;20283
AM;68;19520
AM;69;19137
AM;70;18588
AM;71;17664
AM;72;17046
AM;73;16884
AM;74;16208
AM;75;15718
AM;76;15321
AM;77;14860
AM;78;14412
AM;79;14140
AM;80;13907
AM;81;13290
AM;82;13029
AM;83;12614
AM;84;12452
AM;85;11829
AM;86;11612
AM;87;11293
AM;88;11265
AM;89;10889
AM;90;10674
AM;91;10290
AM;92;9896
AM;93;9958
AM;94;9778
AM;95;9367
AM;96;9134
AM;97;8997
AM;98;8922
AM;99;8714
AM;100;8498
AM;101;8273
AM;102;8018
AM;103;8169
AM;104;7902
AM;105;7653
AM;106;7607
AM;107;7405
AM;108;7020
AM;109;6936
AM;110;6840
AM;111;6801
AM;112;6662
AM;113;6567
AM;114;6304
AM;115;6295
AM;116;6113
AM;117;5963
AM;118;5867
AM;119;5750
AM;120;5519
AM;121;5503
AM;122;5447
AM;123;5192
AM;124;5209
AM;125;5201
AM;126;5092
AM;127;5043
AM;128;4826
AM;129;4717
AM;130;4684
AM;131;4685
AM;132;4554
AM;133;4444
AM;134;4288
AM;135;4206
AM;136;4236
AM;137;4202
AM;138;4132
AM;139;4023
AM;140;3951
AM;141;3892
AM;142;3792
AM;143;3710
AM;144;3822
AM;145;3658
AM;146;3587
AM;147;3511
AM;148;3542
AM;149;3468
AM;150;3407
AM;151;3301
AM;152;3235
AM;153;3211
AM;154;3139
AM;155;3198
AM;156;3066
AM;157;3104
AM;158;3138
AM;159;3019
AM;160;2895
AM;161;2942
AM;162;2911
AM;163;2841
AM;164;2714
AM;165;2766
AM;166;2694
AM;167;2692
AM;168;2655
AM;169;2602
AM;170;2596
AM;171;2483
AM;172;2472
AM;173;2511
AM;174;2462
AM;175;2454
AM;176;2396
AM;177;2357
AM;178;2373
AM;179;2275
AM;180;2293
AM;181;2161
AM;182;2247
AM;183;2199
AM;184;2174
AM;185;2223
AM;186;2130
AM;187;2070
