uf;segundos_depois;frequencia
AP;-1;1765
AP;17;2
AP;18;1
AP;20;1
AP;21;17
AP;22;18
AP;23;39
AP;24;58
AP;25;160
AP;26;249
AP;27;445
AP;28;669
AP;29;996
AP;30;1341
AP;31;1692
AP;32;2252
AP;33;2664
AP;34;3175
AP;35;3648
AP;36;3974
AP;37;4428
AP;38;4682
AP;39;4958
AP;40;5080
AP;41;5373
AP;42;5529
AP;43;5576
AP;44;5647
AP;45;5608
AP;46;5519
AP;47;5411
AP;48;5555
AP;49;5314
AP;50;5151
AP;51;5052
AP;52;4950
AP;53;4890
AP;54;4702
AP;55;4527
AP;56;4457
AP;57;4455
AP;58;4284
AP;59;4151
AP;60;4072
AP;61;3834
AP;62;3757
AP;63;3835
AP;64;3618
AP;65;3487
AP;66;3419
AP;67;3285
AP;68;3232
AP;69;3239
AP;70;3084
AP;71;2988
AP;72;2950
AP;73;2814
AP;74;2840
AP;75;2733
AP;76;2617
AP;77;2554
AP;78;2557
AP;79;2448
AP;80;2415
AP;81;2453
AP;82;2347
AP;83;2309
AP;84;2201
AP;85;2220
AP;86;2133
AP;87;2058
AP;88;2030
AP;89;1893
AP;90;1993
AP;91;1977
AP;92;1911
AP;93;1888
AP;94;1820
AP;95;1784
AP;96;1793
AP;97;1733
AP;98;1738
AP;99;1627
AP;100;1565
AP;101;1540
AP;102;1624
AP;103;1600
AP;104;1398
AP;105;1525
AP;106;1499
AP;107;1468
AP;108;1482
AP;109;1432
AP;110;1330
AP;111;1349
AP;112;1288
AP;113;1316
AP;114;1372
AP;115;1230
AP;116;1278
AP;117;1242
AP;118;1174
AP;119;1168
AP;120;1080
AP;121;1183
AP;122;1158
AP;123;1101
AP;124;1126
AP;125;1116
AP;126;1066
AP;127;1043
AP;128;1009
AP;129;1008
AP;130;988
AP;131;1011
AP;132;978
AP;133;964
AP;134;931
AP;135;943
AP;136;967
AP;137;913
AP;138;867
AP;139;865
AP;140;900
AP;141;925
AP;142;802
AP;143;837
AP;144;823
AP;145;766
AP;146;762
AP;147;819
AP;148;769
AP;149;743
AP;150;782
AP;151;754
AP;152;743
AP;153;707
AP;154;739
AP;155;734
AP;156;687
AP;157;743
AP;158;670
AP;159;675
AP;160;641
AP;161;697
AP;162;667
AP;163;638
AP;164;677
AP;165;646
AP;166;632
AP;167;605
AP;168;616
AP;169;635
AP;170;560
AP;171;638
AP;172;616
AP;173;590
AP;174;618
AP;175;561
AP;176;553
AP;177;608
AP;178;545
AP;179;548
AP;180;559
AP;181;547
AP;182;535
AP;183;569
AP;184;544
AP;185;509
AP;186;548
AP;187;499
AP;188;502
AP;189;505
AP;190;446
AP;191;501
AP;192;491
AP;193;509
AP;194;471
AP;195;459
AP;196;424
AP;197;474
AP;198;497
AP;199;453
AP;200;488
AP;201;467
AP;202;463
AP;203;437
AP;204;454
AP;205;473
AP;206;471
AP;207;442
AP;208;385
AP;209;421
AP;210;432
AP;211;400
AP;212;406
AP;213;401
AP;214;438
AP;215;369
AP;216;388
AP;217;427
AP;218;410
AP;219;407
AP;220;395
AP;221;359
AP;222;375
AP;223;378
AP;224;323
AP;225;364
AP;226;381
AP;227;377
AP;228;359
AP;229;362
AP;230;385
AP;231;383
AP;232;384
AP;233;357
AP;234;333
AP;235;367
AP;236;345
AP;237;330
AP;238;352
AP;239;342
AP;240;337
AP;241;348
AP;242;334
AP;243;300
AP;244;291
AP;245;325
AP;246;304
AP;247;317
AP;248;329
AP;249;356
AP;250;322
AP;251;285
AP;252;333
AP;253;327
AP;254;268
AP;255;305
AP;256;296
AP;257;324
AP;258;272
AP;259;305
AP;260;251
AP;261;286
AP;262;319
AP;263;270
AP;264;303
AP;265;308
AP;266;295
AP;267;295
AP;268;305
AP;269;314
AP;270;321
AP;271;279
AP;272;258
AP;273;245
AP;274;253
AP;275;270
AP;276;269
AP;277;271
AP;278;240
AP;279;255
AP;280;249
AP;281;264
AP;282;254
AP;283;252
AP;284;248
AP;285;236
AP;286;230
AP;287;268
AP;288;237
AP;289;264
AP;290;224
AP;291;256
AP;292;241
AP;293;220
AP;294;223
AP;295;222
AP;296;257
AP;297;220
AP;298;235
AP;299;196
AP;300;243
AP;301;233
AP;302;215
AP;303;214
AP;304;207
AP;305;189
AP;306;202
AP;307;192
AP;308;198
AP;309;188
AP;310;230
AP;311;231
AP;312;214
AP;313;212
AP;314;233
AP;315;209
AP;316;187
AP;317;202
AP;318;198
AP;319;194
AP;320;211
AP;321;217
AP;322;201
AP;323;211
AP;324;159
AP;325;190
AP;326;177
AP;327;189
AP;328;176
AP;329;186
AP;330;221
AP;331;198
AP;332;165
AP;333;188
AP;334;166
AP;335;166
AP;336;155
AP;337;191
AP;338;166
AP;339;163
AP;340;176
AP;341;172
AP;342;167
AP;343;180
AP;344;174
AP;345;186
AP;346;183
AP;347;185
AP;348;186
AP;349;176
AP;350;160
AP;351;184
AP;352;148
AP;353;182
AP;354;162
AP;355;177
AP;356;189
AP;357;157
AP;358;172
AP;359;160
AP;360;141
AP;361;164
AP;362;157
AP;363;138
AP;364;147
AP;365;150
AP;366;149
AP;367;135
AP;368;132
AP;369;144
