uf;segundos_depois;frequencia
BA;-1;34659
BA;0;20
BA;1;29
BA;2;42
BA;3;39
BA;4;39
BA;5;31
BA;6;34
BA;7;33
BA;8;41
BA;9;33
BA;10;26
BA;11;33
BA;12;23
BA;13;32
BA;14;32
BA;15;29
BA;16;29
BA;17;31
BA;18;29
BA;19;38
BA;20;38
BA;21;80
BA;22;121
BA;23;262
BA;24;604
BA;25;1232
BA;26;2280
BA;27;4271
BA;28;7119
BA;29;11483
BA;30;17401
BA;31;25180
BA;32;34324
BA;33;45186
BA;34;56696
BA;35;68597
BA;36;80300
BA;37;91713
BA;38;102956
BA;39;112588
BA;40;120164
BA;41;127724
BA;42;132598
BA;43;136835
BA;44;138661
BA;45;140373
BA;46;140507
BA;47;140895
BA;48;139982
BA;49;138179
BA;50;136153
BA;51;133999
BA;52;131208
BA;53;127947
BA;54;125426
BA;55;122213
BA;56;118436
BA;57;115584
BA;58;112349
BA;59;109283
BA;60;106150
BA;61;103228
BA;62;100258
BA;63;97594
BA;64;94324
BA;65;91539
BA;66;88795
BA;67;85668
BA;68;83894
BA;69;81311
BA;70;79287
BA;71;76910
BA;72;74708
BA;73;72471
BA;74;70901
BA;75;69091
BA;76;67320
BA;77;65402
BA;78;63458
BA;79;62109
BA;80;61183
BA;81;59203
BA;82;57956
BA;83;56575
BA;84;55318
BA;85;54206
BA;86;53374
BA;87;51639
BA;88;50497
BA;89;49863
BA;90;48562
BA;91;47844
BA;92;47315
BA;93;45976
BA;94;44902
BA;95;43959
BA;96;43492
BA;97;42395
BA;98;41721
BA;99;40826
BA;100;39991
BA;101;39407
BA;102;38607
BA;103;37327
BA;104;36664
BA;105;36226
BA;106;35008
BA;107;34723
BA;108;33604
BA;109;33118
BA;110;32614
BA;111;32114
BA;112;31311
BA;113;30906
BA;114;30099
BA;115;29240
BA;116;28686
BA;117;28568
BA;118;27793
BA;119;27004
BA;120;26879
BA;121;26216
BA;122;25439
BA;123;25087
BA;124;24808
BA;125;24280
BA;126;23592
BA;127;23134
BA;128;22958
BA;129;22256
BA;130;21873
BA;131;21594
BA;132;20962
BA;133;20906
BA;134;20375
BA;135;20221
BA;136;19917
BA;137;19577
BA;138;18985
BA;139;18626
BA;140;18586
BA;141;18177
BA;142;17908
BA;143;17465
BA;144;17110
BA;145;16984
BA;146;16633
BA;147;16297
BA;148;15951
BA;149;15959
BA;150;15636
BA;151;15182
BA;152;15201
BA;153;14814
BA;154;14817
BA;155;14489
BA;156;13967
BA;157;13972
BA;158;13629
BA;159;13626
BA;160;13204
BA;161;13105
BA;162;13040
BA;163;12799
BA;164;12361
BA;165;12177
BA;166;12365
BA;167;11775
BA;168;11818
BA;169;11673
BA;170;11450
BA;171;11276
BA;172;11179
BA;173;11279
BA;174;11007
BA;175;10698
BA;176;10533
BA;177;10303
BA;178;10358
BA;179;10160
BA;180;9925
BA;181;9835
BA;182;9792
BA;183;9641
BA;184;9612
BA;185;9652
BA;186;9463
BA;187;9291
BA;188;9075
BA;189;9185
BA;190;8743
BA;191;8705
BA;192;8792
BA;193;8756
BA;194;8596
BA;195;8388
BA;196;8261
BA;197;8281
BA;198;8150
BA;199;8046
BA;200;8099
