uf;segundos_depois;frequencia
CE;-1;22959
CE;0;5
CE;1;1
CE;2;6
CE;3;3
CE;4;4
CE;5;3
CE;6;7
CE;7;4
CE;8;4
CE;9;7
CE;10;5
CE;11;5
CE;12;6
CE;13;3
CE;14;6
CE;15;3
CE;16;7
CE;17;11
CE;18;21
CE;19;36
CE;20;84
CE;21;192
CE;22;419
CE;23;889
CE;24;1699
CE;25;3218
CE;26;5412
CE;27;8672
CE;28;12542
CE;29;17366
CE;30;23365
CE;31;29568
CE;32;36524
CE;33;43228
CE;34;49148
CE;35;54880
CE;36;61129
CE;37;65191
CE;38;69668
CE;39;72233
CE;40;75062
CE;41;77116
CE;42;78314
CE;43;79318
CE;44;79528
CE;45;79731
CE;46;79869
CE;47;78819
CE;48;78816
CE;49;77422
CE;50;76635
CE;51;75156
CE;52;74118
CE;53;72375
CE;54;70707
CE;55;68891
CE;56;67971
CE;57;65819
CE;58;64295
CE;59;62883
CE;60;60984
CE;61;59545
CE;62;58293
CE;63;56612
CE;64;55265
CE;65;53397
CE;66;51489
CE;67;50963
CE;68;49305
CE;69;47622
CE;70;46298
CE;71;45527
CE;72;43922
CE;73;42974
CE;74;41563
CE;75;41124
CE;76;40155
CE;77;38785
CE;78;37528
CE;79;36825
CE;80;36357
CE;81;35410
CE;82;34720
CE;83;33601
CE;84;32798
CE;85;32255
CE;86;31522
CE;87;31250
CE;88;30364
CE;89;29784
CE;90;29526
CE;91;28736
CE;92;27957
CE;93;27386
CE;94;27100
CE;95;26363
CE;96;25887
CE;97;25332
CE;98;24865
CE;99;24349
CE;100;24128
CE;101;23438
CE;102;22855
CE;103;22450
CE;104;21870
CE;105;21635
CE;106;21356
CE;107;20942
CE;108;20453
CE;109;20232
CE;110;19862
CE;111;19502
CE;112;18936
CE;113;18708
CE;114;18378
CE;115;18172
CE;116;17554
CE;117;17318
CE;118;17030
CE;119;16691
CE;120;16681
CE;121;16404
CE;122;15814
CE;123;15563
CE;124;15148
CE;125;15140
CE;126;14944
CE;127;14503
CE;128;14316
CE;129;14207
CE;130;13803
CE;131;13386
CE;132;13224
CE;133;13140
CE;134;12831
CE;135;12792
CE;136;12601
