uf;segundos_depois;frequencia
DF;-1;6781
DF;16;1
DF;17;2
DF;18;2
DF;19;2
DF;20;14
DF;21;50
DF;22;95
DF;23;219
DF;24;492
DF;25;986
DF;26;1629
DF;27;2689
DF;28;4220
DF;29;5979
DF;30;8400
DF;31;11093
DF;32;13758
DF;33;16226
DF;34;19165
DF;35;21819
DF;36;23880
DF;37;26088
DF;38;27794
DF;39;28695
DF;40;29370
DF;41;30016
DF;42;30515
DF;43;30375
DF;44;29965
DF;45;29662
DF;46;29061
DF;47;28420
DF;48;28005
DF;49;27257
DF;50;26490
DF;51;25753
DF;52;24975
DF;53;24224
DF;54;23492
DF;55;23282
DF;56;22160
DF;57;21640
DF;58;20897
DF;59;20355
DF;60;19634
DF;61;18818
DF;62;18341
DF;63;17818
DF;64;17200
DF;65;16925
DF;66;16251
DF;67;15787
DF;68;15139
DF;69;14690
DF;70;14316
DF;71;13770
DF;72;13428
DF;73;13173
DF;74;12732
DF;75;12526
DF;76;12016
DF;77;11596
DF;78;11226
DF;79;11042
DF;80;10825
DF;81;10264
DF;82;10182
DF;83;9938
DF;84;9775
DF;85;9504
DF;86;9286
DF;87;8880
DF;88;8924
DF;89;8706
DF;90;8518
DF;91;8187
DF;92;8144
DF;93;7857
DF;94;7766
DF;95;7410
DF;96;7450
DF;97;7217
DF;98;6947
DF;99;7070
DF;100;6986
DF;101;6685
DF;102;6635
DF;103;6437
DF;104;6285
DF;105;6110
DF;106;6008
DF;107;6043
DF;108;5788
DF;109;5722
DF;110;5736
DF;111;5554
DF;112;5687
DF;113;5412
DF;114;5403
DF;115;5278
DF;116;5134
DF;117;5178
DF;118;5048
DF;119;4810
DF;120;4944
DF;121;4854
DF;122;4700
DF;123;4516
DF;124;4711
DF;125;4389
DF;126;4445
DF;127;4297
DF;128;4239
DF;129;4151
DF;130;4071
DF;131;4129
DF;132;3995
DF;133;4023
DF;134;3807
DF;135;3857
DF;136;3841
DF;137;3742
DF;138;3727
DF;139;3773
DF;140;3650
DF;141;3586
DF;142;3506
DF;143;3389
DF;144;3494
DF;145;3482
DF;146;3274
DF;147;3389
DF;148;3255
DF;149;3244
DF;150;3343
DF;151;3126
DF;152;3107
DF;153;2995
DF;154;3097
DF;155;3067
DF;156;2955
DF;157;2887
DF;158;2875
DF;159;2904
DF;160;2890
DF;161;2807
DF;162;2804
DF;163;2799
DF;164;2737
DF;165;2748
DF;166;2627
DF;167;2605
DF;168;2623
DF;169;2590
DF;170;2526
DF;171;2568
DF;172;2565
DF;173;2482
DF;174;2507
DF;175;2422
DF;176;2371
DF;177;2436
DF;178;2373
DF;179;2353
DF;180;2218
DF;181;2193
DF;182;2298
DF;183;2240
DF;184;2206
DF;185;2212
DF;186;2090
DF;187;2127
DF;188;2130
DF;189;2059
DF;190;2046
DF;191;2043
DF;192;1963
DF;193;2077
DF;194;2030
DF;195;2024
DF;196;1997
DF;197;1939
DF;198;1831
DF;199;2036
DF;200;1957
DF;201;1820
DF;202;1825
DF;203;1863
DF;204;1830
DF;205;1820
DF;206;1789
DF;207;1843
DF;208;1767
DF;209;1730
DF;210;1756
DF;211;1803
DF;212;1697
DF;213;1731
DF;214;1652
DF;215;1643
DF;216;1723
DF;217;1624
DF;218;1575
DF;219;1611
DF;220;1637
DF;221;1605
DF;222;1528
DF;223;1565
DF;224;1543
DF;225;1540
DF;226;1527
DF;227;1529
DF;228;1508
DF;229;1558
DF;230;1427
DF;231;1490
DF;232;1499
DF;233;1457
DF;234;1363
DF;235;1416
DF;236;1401
DF;237;1384
DF;238;1367
DF;239;1378
DF;240;1382
DF;241;1339
DF;242;1357
DF;243;1329
DF;244;1297
DF;245;1232
DF;246;1250
DF;247;1320
DF;248;1263
DF;249;1283
DF;250;1201
DF;251;1251
DF;252;1234
DF;253;1230
DF;254;1177
DF;255;1146
DF;256;1209
DF;257;1224
DF;258;1159
DF;259;1161
DF;260;1154
DF;261;1144
DF;262;1138
DF;263;1101
DF;264;1121
DF;265;1142
DF;266;1107
DF;267;1040
DF;268;1077
DF;269;1062
DF;270;1080
DF;271;1049
DF;272;1059
DF;273;1033
