uf;segundos_depois;frequencia
ES;-1;9320
ES;0;3
ES;1;6
ES;2;2
ES;3;2
ES;4;4
ES;5;3
ES;6;2
ES;8;4
ES;9;1
ES;10;4
ES;11;4
ES;12;8
ES;13;8
ES;15;2
ES;16;4
ES;17;9
ES;18;13
ES;19;35
ES;20;87
ES;21;190
ES;22;354
ES;23;610
ES;24;1002
ES;25;1650
ES;26;2318
ES;27;3370
ES;28;4627
ES;29;6099
ES;30;7911
ES;31;9752
ES;32;11956
ES;33;14008
ES;34;16506
ES;35;18698
ES;36;20822
ES;37;22874
ES;38;24932
ES;39;26614
ES;40;27706
ES;41;29012
ES;42;30178
ES;43;31043
ES;44;31526
ES;45;32194
ES;46;31842
ES;47;31976
ES;48;32012
ES;49;32016
ES;50;31467
ES;51;31201
ES;52;30858
ES;53;30047
ES;54;29607
ES;55;29319
ES;56;29083
ES;57;28574
ES;58;28089
ES;59;27212
ES;60;26521
ES;61;25968
ES;62;25324
ES;63;24650
ES;64;24325
ES;65;23302
ES;66;22855
ES;67;22232
ES;68;21931
ES;69;21469
ES;70;20864
ES;71;20389
ES;72;19697
ES;73;19239
ES;74;18869
ES;75;18268
ES;76;17842
ES;77;17394
ES;78;16803
ES;79;16630
ES;80;15990
ES;81;15564
ES;82;15252
ES;83;14554
ES;84;14382
ES;85;13950
ES;86;13837
ES;87;13184
ES;88;12932
ES;89;12764
ES;90;12476
ES;91;12157
ES;92;11740
ES;93;11451
ES;94;11266
ES;95;10797
ES;96;10824
ES;97;10553
ES;98;10078
ES;99;10182
ES;100;9674
ES;101;9422
ES;102;9378
ES;103;9141
ES;104;8881
ES;105;8838
ES;106;8694
ES;107;8490
ES;108;8254
ES;109;8127
ES;110;7828
ES;111;7768
ES;112;7394
ES;113;7258
ES;114;7015
ES;115;7182
ES;116;6994
ES;117;6648
ES;118;6752
ES;119;6616
ES;120;6387
ES;121;6274
ES;122;6160
ES;123;6114
ES;124;5998
ES;125;5865
ES;126;5789
ES;127;5797
ES;128;5578
ES;129;5560
ES;130;5484
ES;131;5164
ES;132;5204
ES;133;5224
ES;134;5151
ES;135;5012
ES;136;5034
ES;137;4778
ES;138;4765
ES;139;4757
ES;140;4706
ES;141;4534
