uf;segundos_depois;frequencia
MA;-1;16542
MA;17;1
MA;18;6
MA;19;27
MA;20;81
MA;21;160
MA;22;380
MA;23;671
MA;24;1161
MA;25;2107
MA;26;3524
MA;27;5105
MA;28;7645
MA;29;10430
MA;30;14114
MA;31;17808
MA;32;22138
MA;33;26631
MA;34;30845
MA;35;35210
MA;36;38535
MA;37;42135
MA;38;45298
MA;39;47599
MA;40;50001
MA;41;51255
MA;42;53226
MA;43;53824
MA;44;54189
MA;45;54342
MA;46;54432
MA;47;54029
MA;48;53198
MA;49;52844
MA;50;52415
MA;51;51190
MA;52;50736
MA;53;49194
MA;54;48203
MA;55;47465
MA;56;46330
MA;57;45029
MA;58;44268
MA;59;43131
MA;60;41880
MA;61;40988
MA;62;39137
MA;63;38618
MA;64;37645
MA;65;36521
MA;66;35533
MA;67;34734
MA;68;33871
MA;69;32855
MA;70;31970
MA;71;31325
MA;72;30594
MA;73;29474
MA;74;28977
MA;75;28073
MA;76;27453
MA;77;26743
MA;78;26104
MA;79;25512
MA;80;25097
MA;81;24757
MA;82;24198
MA;83;23187
MA;84;23052
MA;85;22344
MA;86;21807
MA;87;21260
MA;88;21016
MA;89;20339
MA;90;20150
MA;91;19632
MA;92;19026
MA;93;18855
MA;94;18277
MA;95;18087
MA;96;17755
MA;97;17387
MA;98;17062
MA;99;16745
MA;100;16417
MA;101;16047
MA;102;15598
MA;103;15521
MA;104;14980
MA;105;14656
MA;106;14481
MA;107;14445
MA;108;13736
MA;109;13574
MA;110;13100
MA;111;13120
MA;112;12936
MA;113;12643
MA;114;12574
MA;115;12143
MA;116;11889
MA;117;11537
MA;118;11423
MA;119;11206
MA;120;10948
MA;121;10727
MA;122;10680
MA;123;10503
MA;124;10173
MA;125;10054
MA;126;9977
MA;127;9546
MA;128;9659
MA;129;9444
MA;130;9180
MA;131;9212
MA;132;8926
MA;133;8789
MA;134;8438
MA;135;8444
MA;136;8403
MA;137;8240
MA;138;8119
MA;139;7734
MA;140;7803
MA;141;7651
MA;142;7560
MA;143;7451
MA;144;7398
MA;145;7156
MA;146;7071
MA;147;7023
MA;148;6998
MA;149;6751
MA;150;6696
MA;151;6559
MA;152;6464
MA;153;6447
MA;154;6326
MA;155;6223
MA;156;6245
MA;157;5806
MA;158;5864
MA;159;5862
MA;160;5902
MA;161;5743
MA;162;5575
MA;163;5648
MA;164;5591
MA;165;5372
MA;166;5455
MA;167;5280
MA;168;5306
MA;169;5080
MA;170;5244
MA;171;5121
MA;172;4933
MA;173;5034
MA;174;4833
MA;175;4831
MA;176;4681
MA;177;4701
MA;178;4545
MA;179;4733
MA;180;4720
MA;181;4565
MA;182;4494
MA;183;4513
MA;184;4256
MA;185;4370
MA;186;4330
MA;187;4244
MA;188;4201
MA;189;4074
MA;190;4134
MA;191;4027
MA;192;4040
MA;193;4053
MA;194;3930
MA;195;3829
MA;196;3863
MA;197;3900
MA;198;3851
MA;199;3856
MA;200;3631
MA;201;3657
MA;202;3627
MA;203;3627
MA;204;3564
MA;205;3593
MA;206;3510
MA;207;3532
MA;208;3616
MA;209;3487
MA;210;3445
MA;211;3399
MA;212;3329
MA;213;3299
MA;214;3230
MA;215;3330
MA;216;3303
MA;217;3074
MA;218;3279
MA;219;3109
MA;220;3218
MA;221;3134
MA;222;3132
MA;223;3089
MA;224;3047
MA;225;2952
MA;226;2953
MA;227;2948
MA;228;2962
MA;229;2884
MA;230;2899
MA;231;2863
MA;232;2864
MA;233;2739
MA;234;2753
MA;235;2900
MA;236;2800
MA;237;2798
MA;238;2691
MA;239;2623
MA;240;2635
MA;241;2724
MA;242;2624
MA;243;2727
MA;244;2648
MA;245;2517
MA;246;2532
MA;247;2600
MA;248;2512
MA;249;2561
MA;250;2439
MA;251;2476
MA;252;2539
MA;253;2492
MA;254;2468
MA;255;2518
MA;256;2394
MA;257;2289
MA;258;2362
MA;259;2385
MA;260;2353
MA;261;2400
MA;262;2304
MA;263;2363
MA;264;2296
MA;265;2304
MA;266;2303
MA;267;2196
MA;268;2185
MA;269;2220
MA;270;2215
MA;271;2215
MA;272;2188
MA;273;2095
MA;274;2203
MA;275;2119
MA;276;2129
MA;277;2125
MA;278;2112
MA;279;2055
MA;280;2033
MA;281;1970
MA;282;2018
MA;283;2028
MA;284;1974
MA;285;1940
MA;286;1992
MA;287;1963
MA;288;1951
MA;289;1989
MA;290;1871
MA;291;1916
MA;292;1863
MA;293;1820
MA;294;1880
MA;295;1917
MA;296;1844
MA;297;1809
MA;298;1828
MA;299;1855
MA;300;1846
MA;301;1848
MA;302;1895
MA;303;1752
MA;304;1784
MA;305;1797
MA;306;1785
MA;307;1773
MA;308;1692
MA;309;1734
MA;310;1718
MA;311;1730
MA;312;1742
MA;313;1701
MA;314;1674
MA;315;1763
MA;316;1671
MA;317;1701
MA;318;1591
MA;319;1664
MA;320;1653
MA;321;1636
MA;322;1679
MA;323;1638
MA;324;1606
MA;325;1574
MA;326;1560
MA;327;1589
MA;328;1538
MA;329;1564
MA;330;1487
MA;331;1533
MA;332;1561
MA;333;1469
MA;334;1404
MA;335;1486
MA;336;1507
MA;337;1441
MA;338;1459
MA;339;1446
MA;340;1440
MA;341;1351
MA;342;1470
MA;343;1477
MA;344;1436
MA;345;1378
MA;346;1350
MA;347;1383
MA;348;1412
MA;349;1333
MA;350;1372
MA;351;1325
MA;352;1342
MA;353;1388
MA;354;1358
MA;355;1339
MA;356;1354
MA;357;1331
MA;358;1377
MA;359;1244
MA;360;1301
MA;361;1275
MA;362;1229
MA;363;1300
MA;364;1254
MA;365;1210
MA;366;1233
MA;367;1251
MA;368;1177
MA;369;1233
MA;370;1217
MA;371;1210
MA;372;1196
MA;373;1179
MA;374;1271
MA;375;1223
MA;376;1202
MA;377;1215
MA;378;1169
MA;379;1200
MA;380;1205
MA;381;1215
MA;382;1152
MA;383;1136
MA;384;1168
MA;385;1155
MA;386;1126
MA;387;1116
MA;388;1106
MA;389;1093
MA;390;1106
MA;391;1070
MA;392;1086
MA;393;1121
MA;394;1087
MA;395;1076
MA;396;994
MA;397;1071
MA;398;1051
MA;399;1043
MA;400;1059
MA;401;1055
MA;402;1036
MA;403;1061
MA;404;1096
MA;405;994
MA;406;1033
MA;407;1027
MA;408;961
MA;409;960
MA;410;942
MA;411;1016
MA;412;1019
MA;413;960
MA;414;979
MA;415;1009
MA;416;976
MA;417;967
MA;418;904
MA;419;953
MA;420;934
MA;421;910
MA;422;940
MA;423;914
MA;424;864
MA;425;866
MA;426;920
MA;427;908
MA;428;895
MA;429;855
MA;430;943
MA;431;858
MA;432;939
MA;433;908
MA;434;854
MA;435;889
MA;436;863
MA;437;891
MA;438;826
MA;439;819
MA;440;807
MA;441;857
MA;442;829
MA;443;816
MA;444;825
MA;445;796
MA;446;891
MA;447;804
MA;448;818
MA;449;800
MA;450;773
MA;451;794
MA;452;742
MA;453;744
MA;454;789
MA;455;774
MA;456;760
MA;457;777
MA;458;745
MA;459;729
MA;460;732
MA;461;748
MA;462;737
MA;463;735
MA;464;702
MA;465;753
MA;466;773
MA;467;772
MA;468;666
MA;469;710
MA;470;729
MA;471;696
MA;472;735
MA;473;702
MA;474;763
MA;475;656
MA;476;752
MA;477;651
MA;478;681
MA;479;689
MA;480;730
MA;481;672
MA;482;721
MA;483;692
MA;484;673
MA;485;672
MA;486;715
MA;487;651
MA;488;687
MA;489;660
MA;490;631
MA;491;669
MA;492;654
MA;493;656
MA;494;678
MA;495;637
MA;496;618
MA;497;608
MA;498;655
MA;499;614
MA;500;638
MA;501;655
MA;502;617
MA;503;617
MA;504;644
MA;505;590
MA;506;580
MA;507;603
MA;508;643
MA;509;610
MA;510;568
MA;511;647
MA;512;594
MA;513;628
MA;514;564
MA;515;577
MA;516;587
MA;517;587
MA;518;602
MA;519;514
MA;520;572
MA;521;576
MA;522;584
MA;523;555
MA;524;555
MA;525;564
MA;526;572
MA;527;573
MA;528;547
MA;529;538
MA;530;539
MA;531;507
MA;532;544
MA;533;529
MA;534;548
MA;535;536
MA;536;505
MA;537;512
MA;538;508
MA;539;507
MA;540;495
MA;541;493
MA;542;518
MA;543;441
MA;544;472
MA;545;522
MA;546;469
MA;547;443
MA;548;481
MA;549;514
MA;550;528
MA;551;467
MA;552;483
MA;553;487
MA;554;490
MA;555;529
MA;556;499
MA;557;454
MA;558;494
MA;559;464
MA;560;471
MA;561;491
MA;562;479
MA;563;462
MA;564;448
MA;565;449
MA;566;445
MA;567;426
MA;568;429
MA;569;405
MA;570;466
MA;571;457
MA;572;449
MA;573;445
MA;574;460
MA;575;412
MA;576;406
MA;577;434
MA;578;396
MA;579;388
MA;580;409
MA;581;412
MA;582;450
MA;583;416
