uf;segundos_depois;frequencia
MG;-1;50332
MG;0;12
MG;1;29
MG;2;36
MG;3;32
MG;4;36
MG;5;37
MG;6;35
MG;7;30
MG;8;44
MG;9;31
MG;10;42
MG;11;27
MG;12;28
MG;13;37
MG;14;45
MG;15;51
MG;16;73
MG;17;225
MG;18;457
MG;19;1074
MG;20;2104
MG;21;3978
MG;22;6833
MG;23;10879
MG;24;16197
MG;25;23046
MG;26;32043
MG;27;41992
MG;28;53608
MG;29;66026
MG;30;79638
MG;31;93397
MG;32;106235
MG;33;118680
MG;34;130081
MG;35;140263
MG;36;148234
MG;37;155216
MG;38;160327
MG;39;165074
MG;40;168843
MG;41;168335
MG;42;170206
MG;43;172015
MG;44;170765
MG;45;169543
MG;46;169161
MG;47;168127
MG;48;166002
MG;49;164070
MG;50;162373
MG;51;159730
MG;52;157720
MG;53;155818
MG;54;152621
MG;55;149167
MG;56;146515
MG;57;143595
MG;58;141339
MG;59;138400
MG;60;135523
MG;61;132773
MG;62;130025
MG;63;126471
MG;64;124408
MG;65;120633
MG;66;118064
MG;67;115983
MG;68;113279
MG;69;109759
MG;70;107810
MG;71;105398
MG;72;102834
MG;73;99810
MG;74;97724
MG;75;95458
MG;76;93052
MG;77;90776
MG;78;88357
MG;79;87086
MG;80;84501
MG;81;82853
MG;82;81312
MG;83;79047
MG;84;77323
MG;85;75553
MG;86;74188
MG;87;72219
MG;88;70870
MG;89;68958
MG;90;67483
MG;91;66466
MG;92;65023
MG;93;63406
MG;94;62162
MG;95;60909
MG;96;59319
MG;97;58005
MG;98;56893
MG;99;55124
MG;100;54491
MG;101;53007
MG;102;52547
MG;103;50670
MG;104;49941
MG;105;48980
MG;106;47969
MG;107;47640
MG;108;45965
MG;109;44984
MG;110;44152
MG;111;43582
MG;112;42543
MG;113;41735
MG;114;40872
MG;115;40137
MG;116;39585
MG;117;38367
MG;118;38023
MG;119;37212
MG;120;36331
MG;121;35682
MG;122;35207
MG;123;34510
MG;124;33722
MG;125;33412
MG;126;33098
MG;127;32079
MG;128;31626
MG;129;31153
MG;130;30566
MG;131;30051
MG;132;29906
MG;133;29070
MG;134;28806
MG;135;28407
MG;136;27765
MG;137;27223
MG;138;26903
MG;139;26222
MG;140;25961
MG;141;25401
MG;142;25387
MG;143;24795
MG;144;24405
MG;145;23910
MG;146;23902
MG;147;23209
MG;148;23259
MG;149;22678
MG;150;22302
MG;151;21951
MG;152;21588
MG;153;21447
MG;154;20892
MG;155;20619
MG;156;20656
MG;157;20422
MG;158;19977
MG;159;19913
MG;160;19598
MG;161;19122
MG;162;18915
MG;163;18907
MG;164;18522
MG;165;18211
MG;166;18139
MG;167;17450
MG;168;17639
MG;169;16993
MG;170;16929
MG;171;17146
MG;172;16429
MG;173;16551
MG;174;16092
MG;175;16091
MG;176;15766
MG;177;15733
MG;178;15610
MG;179;15363
MG;180;15080
MG;181;15163
MG;182;14858
MG;183;14931
MG;184;14460
MG;185;14316
MG;186;14243
MG;187;14273
MG;188;14054
MG;189;13745
MG;190;13730
MG;191;13612
MG;192;13436
MG;193;13219
MG;194;13115
MG;195;13064
MG;196;12989
MG;197;12647
MG;198;12652
MG;199;12608
MG;200;12346
MG;201;12246
MG;202;12318
MG;203;12010
MG;204;12048
MG;205;11827
MG;206;11666
MG;207;11728
MG;208;11440
MG;209;11516
MG;210;11285
MG;211;11295
MG;212;11144
MG;213;11084
MG;214;10929
MG;215;11010
MG;216;10621
MG;217;10715
MG;218;10630
MG;219;10421
MG;220;10396
MG;221;10244
MG;222;10179
MG;223;10118
MG;224;10142
MG;225;10006
MG;226;9810
MG;227;9879
MG;228;9814
MG;229;9650
MG;230;9810
MG;231;9349
MG;232;9362
MG;233;9354
MG;234;9399
MG;235;9272
MG;236;9101
MG;237;8932
MG;238;8900
MG;239;8910
MG;240;9051
MG;241;8941
MG;242;8612
MG;243;8702
MG;244;8514
MG;245;8583
MG;246;8526
MG;247;8499
MG;248;8235
MG;249;8140
MG;250;8318
MG;251;8062
MG;252;8114
MG;253;7829
MG;254;7901
MG;255;8042
MG;256;7869
MG;257;7855
MG;258;7667
MG;259;7581
MG;260;7701
MG;261;7534
MG;262;7385
MG;263;7355
MG;264;7538
MG;265;7431
MG;266;7380
MG;267;7238
MG;268;7307
MG;269;7240
MG;270;7105
MG;271;7058
MG;272;6958
MG;273;7002
MG;274;6961
MG;275;6940
MG;276;6760
MG;277;6911
MG;278;6560
MG;279;6557
MG;280;6542
MG;281;6600
MG;282;6576
MG;283;6561
MG;284;6436
MG;285;6506
MG;286;6345
MG;287;6361
MG;288;6167
MG;289;6244
MG;290;6098
MG;291;6195
MG;292;6251
MG;293;6227
MG;294;6044
MG;295;5825
MG;296;5940
MG;297;5944
MG;298;5891
MG;299;5844
MG;300;5801
MG;301;5801
MG;302;5731
MG;303;5541
MG;304;5714
MG;305;5613
MG;306;5673
MG;307;5458
MG;308;5503
MG;309;5562
MG;310;5540
MG;311;5379
MG;312;5271
MG;313;5400
MG;314;5166
MG;315;5208
MG;316;5251
MG;317;5245
MG;318;5093
MG;319;5233
MG;320;5115
MG;321;5011
MG;322;4965
MG;323;5115
MG;324;5019
MG;325;4945
MG;326;4957
MG;327;4874
MG;328;5025
MG;329;4872
MG;330;4876
MG;331;4749
MG;332;4751
MG;333;4780
MG;334;4563
MG;335;4657
MG;336;4616
MG;337;4557
MG;338;4558
MG;339;4557
MG;340;4507
MG;341;4425
MG;342;4377
MG;343;4449
MG;344;4479
MG;345;4215
MG;346;4359
MG;347;4254
MG;348;4261
MG;349;4273
MG;350;4308
MG;351;4252
MG;352;4178
MG;353;4238
MG;354;4249
MG;355;4018
MG;356;4050
MG;357;4033
MG;358;4025
MG;359;4057
MG;360;4033
MG;361;3976
MG;362;3992
MG;363;3963
MG;364;3865
MG;365;3897
MG;366;3750
MG;367;3809
MG;368;3796
MG;369;3767
MG;370;3773
MG;371;3926
MG;372;3600
MG;373;3593
MG;374;3653
MG;375;3662
MG;376;3631
MG;377;3540
MG;378;3519
MG;379;3450
MG;380;3394
MG;381;3375
MG;382;3640
MG;383;3434
MG;384;3369
MG;385;3365
MG;386;3396
MG;387;3412
MG;388;3276
MG;389;3375
MG;390;3322
MG;391;3199
MG;392;3174
MG;393;3285
MG;394;3199
MG;395;3139
MG;396;3142
MG;397;3134
MG;398;3137
MG;399;3308
MG;400;3124
MG;401;3191
MG;402;3136
MG;403;3120
MG;404;3100
MG;405;2981
MG;406;3023
MG;407;3002
MG;408;2901
MG;409;2983
MG;410;3036
MG;411;2971
MG;412;2927
MG;413;2863
MG;414;2802
MG;415;3000
MG;416;2913
MG;417;2817
MG;418;2858
MG;419;2710
MG;420;2837
MG;421;2670
MG;422;2703
MG;423;2697
MG;424;2768
MG;425;2680
MG;426;2711
MG;427;2688
MG;428;2678
MG;429;2564
MG;430;2642
MG;431;2686
MG;432;2706
MG;433;2599
MG;434;2607
MG;435;2628
MG;436;2566
MG;437;2410
MG;438;2430
MG;439;2534
MG;440;2456
MG;441;2479
MG;442;2424
MG;443;2419
MG;444;2465
MG;445;2321
MG;446;2310
MG;447;2335
MG;448;2345
MG;449;2397
MG;450;2344
MG;451;2406
MG;452;2345
MG;453;2334
MG;454;2238
MG;455;2374
MG;456;2220
MG;457;2354
MG;458;2263
MG;459;2302
MG;460;2218
MG;461;2188
MG;462;2138
MG;463;2243
MG;464;2120
MG;465;2113
MG;466;2061
MG;467;2084
MG;468;2069
MG;469;2036
MG;470;2128
MG;471;2154
MG;472;2070
MG;473;2032
MG;474;2049
MG;475;2002
MG;476;2017
MG;477;1911
MG;478;2003
MG;479;1981
MG;480;1922
MG;481;1980
MG;482;1946
MG;483;1951
MG;484;1960
MG;485;1963
MG;486;1770
MG;487;1884
MG;488;1933
MG;489;1904
MG;490;1797
MG;491;1770
MG;492;1816
MG;493;1873
MG;494;1791
MG;495;1885
MG;496;1844
MG;497;1810
MG;498;1877
MG;499;1803
MG;500;1679
MG;501;1704
MG;502;1727
MG;503;1726
MG;504;1745
MG;505;1753
MG;506;1719
MG;507;1717
MG;508;1723
MG;509;1664
MG;510;1633
MG;511;1641
MG;512;1618
MG;513;1604
MG;514;1667
MG;515;1604
MG;516;1608
MG;517;1613
MG;518;1595
MG;519;1591
MG;520;1593
MG;521;1602
MG;522;1504
MG;523;1570
