uf;segundos_depois;frequencia
MS;-1;6956
MS;0;3
MS;1;5
MS;2;2
MS;3;2
MS;5;4
MS;6;1
MS;7;2
MS;8;4
MS;9;3
MS;10;2
MS;12;4
MS;13;3
MS;15;1
MS;16;2
MS;17;3
MS;18;3
MS;19;4
MS;20;2
MS;21;3
MS;22;9
MS;23;11
MS;24;30
MS;25;76
MS;26;118
MS;27;231
MS;28;406
MS;29;711
MS;30;1115
MS;31;1721
MS;32;2437
MS;33;3330
MS;34;4503
MS;35;5790
MS;36;7427
MS;37;8747
MS;38;10378
MS;39;11756
MS;40;13211
MS;41;14339
MS;42;15751
MS;43;16591
MS;44;17569
MS;45;18387
MS;46;18690
MS;47;18975
MS;48;19234
MS;49;19466
MS;50;19256
MS;51;19573
MS;52;19486
MS;53;19084
MS;54;19164
MS;55;18705
MS;56;18650
MS;57;18680
MS;58;18035
MS;59;17915
MS;60;17443
MS;61;17262
MS;62;16790
MS;63;16847
MS;64;16068
MS;65;15770
MS;66;15499
MS;67;14991
MS;68;14817
MS;69;14587
MS;70;14468
MS;71;13913
MS;72;13626
MS;73;13122
MS;74;12961
MS;75;12597
MS;76;12251
MS;77;12265
MS;78;11889
MS;79;11535
MS;80;11292
MS;81;10847
MS;82;10869
MS;83;10452
MS;84;10437
MS;85;10141
MS;86;9927
MS;87;9703
MS;88;9599
MS;89;9477
MS;90;9280
MS;91;8929
MS;92;8773
MS;93;8481
MS;94;8401
MS;95;8173
MS;96;8070
MS;97;7894
MS;98;7756
MS;99;7568
MS;100;7631
MS;101;7244
MS;102;7021
MS;103;7043
MS;104;6990
MS;105;6890
MS;106;6631
MS;107;6464
MS;108;6362
MS;109;6325
MS;110;6126
MS;111;6000
MS;112;5938
MS;113;5875
MS;114;5657
MS;115;5626
MS;116;5345
MS;117;5310
MS;118;5246
MS;119;5248
MS;120;5061
MS;121;5059
MS;122;4932
MS;123;4672
MS;124;4775
MS;125;4589
MS;126;4532
MS;127;4416
MS;128;4321
MS;129;4314
MS;130;4270
MS;131;4075
MS;132;4107
MS;133;4045
MS;134;3978
MS;135;4009
MS;136;3809
MS;137;3799
MS;138;3740
MS;139;3714
MS;140;3604
MS;141;3636
MS;142;3547
MS;143;3507
MS;144;3487
MS;145;3397
MS;146;3420
MS;147;3257
MS;148;3313
MS;149;3284
MS;150;3063
MS;151;3124
MS;152;3008
MS;153;3074
MS;154;3020
MS;155;3010
MS;156;2952
MS;157;2905
MS;158;2767
MS;159;2753
MS;160;2834
MS;161;2680
MS;162;2609
MS;163;2664
MS;164;2662
MS;165;2591
MS;166;2494
MS;167;2496
MS;168;2558
MS;169;2466
MS;170;2410
MS;171;2326
MS;172;2294
MS;173;2324
MS;174;2235
MS;175;2349
MS;176;2284
MS;177;2281
MS;178;2223
MS;179;2214
MS;180;2171
MS;181;2212
MS;182;2111
MS;183;2090
MS;184;2092
MS;185;2066
MS;186;2067
MS;187;1961
MS;188;1888
MS;189;1969
MS;190;1907
MS;191;1978
MS;192;1847
MS;193;1860
MS;194;1947
MS;195;1901
MS;196;1808
MS;197;1840
MS;198;1790
MS;199;1759
MS;200;1780
MS;201;1803
MS;202;1761
MS;203;1746
MS;204;1710
MS;205;1715
MS;206;1721
MS;207;1619
MS;208;1650
MS;209;1551
MS;210;1651
MS;211;1642
MS;212;1524
MS;213;1522
MS;214;1495
MS;215;1528
MS;216;1578
MS;217;1548
MS;218;1499
MS;219;1513
MS;220;1526
MS;221;1453
MS;222;1505
MS;223;1510
MS;224;1455
MS;225;1427
MS;226;1420
MS;227;1415
MS;228;1424
MS;229;1399
MS;230;1348
MS;231;1395
MS;232;1413
MS;233;1345
MS;234;1356
MS;235;1261
MS;236;1320
MS;237;1296
MS;238;1284
MS;239;1327
MS;240;1297
MS;241;1291
MS;242;1182
MS;243;1310
MS;244;1265
MS;245;1269
MS;246;1224
MS;247;1246
MS;248;1185
MS;249;1229
MS;250;1143
MS;251;1144
MS;252;1102
MS;253;1139
MS;254;1163
MS;255;1183
MS;256;1165
MS;257;1168
MS;258;1079
MS;259;1123
MS;260;1093
MS;261;1096
MS;262;1092
MS;263;1095
MS;264;1086
MS;265;1106
MS;266;1081
MS;267;1046
MS;268;1095
MS;269;1067
MS;270;1016
MS;271;1044
MS;272;999
MS;273;1007
MS;274;1003
MS;275;1030
MS;276;998
MS;277;1029
MS;278;1019
MS;279;977
MS;280;1000
MS;281;990
MS;282;988
MS;283;953
MS;284;962
MS;285;982
MS;286;907
MS;287;917
MS;288;943
MS;289;966
MS;290;867
MS;291;874
MS;292;939
MS;293;919
MS;294;929
MS;295;934
MS;296;879
MS;297;825
MS;298;859
MS;299;795
MS;300;841
MS;301;879
MS;302;824
MS;303;818
MS;304;880
MS;305;816
MS;306;842
MS;307;832
MS;308;810
MS;309;847
MS;310;801
MS;311;783
MS;312;780
MS;313;751
MS;314;777
MS;315;788
MS;316;763
MS;317;766
MS;318;797
MS;319;780
MS;320;733
MS;321;751
MS;322;746
MS;323;770
MS;324;799
MS;325;698
MS;326;734
MS;327;748
MS;328;731
MS;329;704
MS;330;709
MS;331;674
MS;332;739
MS;333;725
MS;334;698
MS;335;654
MS;336;705
MS;337;679
MS;338;668
MS;339;666
MS;340;679
MS;341;679
MS;342;659
MS;343;699
MS;344;731
MS;345;713
MS;346;624
MS;347;630
MS;348;669
MS;349;660
MS;350;623
MS;351;647
MS;352;636
MS;353;624
MS;354;614
MS;355;597
MS;356;624
MS;357;639
MS;358;658
MS;359;552
MS;360;589
MS;361;624
MS;362;585
MS;363;565
MS;364;580
MS;365;589
MS;366;558
MS;367;605
MS;368;558
MS;369;548
MS;370;562
MS;371;549
MS;372;556
MS;373;563
MS;374;586
MS;375;559
MS;376;496
MS;377;533
MS;378;542
MS;379;533
MS;380;512
MS;381;529
MS;382;575
MS;383;507
MS;384;543
MS;385;521
MS;386;482
MS;387;551
MS;388;497
MS;389;534
MS;390;462
MS;391;485
MS;392;510
MS;393;501
MS;394;497
MS;395;517
MS;396;525
MS;397;520
MS;398;469
MS;399;495
MS;400;467
MS;401;464
MS;402;494
MS;403;444
MS;404;468
MS;405;462
MS;406;442
MS;407;434
MS;408;421
MS;409;440
MS;410;464
MS;411;464
MS;412;447
MS;413;466
MS;414;428
MS;415;435
MS;416;446
MS;417;425
MS;418;438
MS;419;415
MS;420;459
MS;421;410
MS;422;408
MS;423;426
MS;424;444
MS;425;418
MS;426;442
MS;427;385
MS;428;425
MS;429;398
MS;430;415
MS;431;438
MS;432;382
MS;433;396
MS;434;387
MS;435;413
MS;436;396
MS;437;400
MS;438;392
MS;439;419
MS;440;382
MS;441;410
MS;442;367
MS;443;374
MS;444;366
MS;445;372
MS;446;421
MS;447;378
MS;448;360
MS;449;388
MS;450;371
MS;451;364
MS;452;335
MS;453;377
MS;454;359
MS;455;347
MS;456;381
MS;457;355
MS;458;319
MS;459;321
MS;460;364
MS;461;340
MS;462;381
MS;463;340
MS;464;333
MS;465;345
MS;466;313
MS;467;337
MS;468;300
MS;469;323
MS;470;345
MS;471;311
MS;472;327
MS;473;315
MS;474;354
MS;475;306
MS;476;317
MS;477;285
MS;478;319
MS;479;306
MS;480;288
MS;481;325
MS;482;312
MS;483;291
MS;484;290
MS;485;303
MS;486;325
MS;487;301
MS;488;317
MS;489;279
MS;490;311
MS;491;285
