uf;segundos_depois;frequencia
MT;-1;7720
MT;16;1
MT;17;10
MT;18;29
MT;19;49
MT;20;97
MT;21;179
MT;22;360
MT;23;609
MT;24;988
MT;25;1577
MT;26;2414
MT;27;3548
MT;28;5057
MT;29;6927
MT;30;8800
MT;31;10957
MT;32;13453
MT;33;15598
MT;34;17539
MT;35;19793
MT;36;21415
MT;37;22612
MT;38;24045
MT;39;24920
MT;40;25687
MT;41;26026
MT;42;26575
MT;43;26676
MT;44;26540
MT;45;26393
MT;46;26420
MT;47;26148
MT;48;25765
MT;49;25480
MT;50;25281
MT;51;24627
MT;52;24251
MT;53;24151
MT;54;23485
MT;55;23108
MT;56;22372
MT;57;22246
MT;58;21174
MT;59;20980
MT;60;20658
MT;61;20274
MT;62;19794
MT;63;19335
MT;64;18757
MT;65;18318
MT;66;17642
MT;67;17377
MT;68;16794
MT;69;16589
MT;70;16371
MT;71;15683
MT;72;15343
MT;73;15094
MT;74;14351
MT;75;14037
MT;76;13891
MT;77;13362
MT;78;13067
MT;79;12705
MT;80;12618
MT;81;12248
MT;82;12003
MT;83;11396
MT;84;11412
MT;85;11008
MT;86;10912
MT;87;10529
MT;88;10564
MT;89;10101
MT;90;9813
MT;91;9639
MT;92;9423
MT;93;9355
MT;94;9067
MT;95;8874
MT;96;8715
MT;97;8445
MT;98;8303
MT;99;8123
MT;100;7872
MT;101;7569
MT;102;7551
MT;103;7531
MT;104;7139
MT;105;6883
MT;106;7048
MT;107;6753
MT;108;6756
MT;109;6525
MT;110;6446
MT;111;6346
MT;112;6166
MT;113;6103
MT;114;5942
MT;115;5871
MT;116;5662
MT;117;5518
MT;118;5382
MT;119;5371
MT;120;5287
MT;121;5144
MT;122;5079
MT;123;4870
MT;124;4789
MT;125;4782
MT;126;4873
MT;127;4630
MT;128;4582
MT;129;4555
MT;130;4376
MT;131;4397
MT;132;4300
MT;133;4336
MT;134;4127
MT;135;4147
MT;136;4091
MT;137;4027
MT;138;3987
MT;139;3918
MT;140;3786
MT;141;3661
MT;142;3721
MT;143;3640
MT;144;3627
MT;145;3530
MT;146;3387
MT;147;3516
MT;148;3292
MT;149;3425
MT;150;3222
MT;151;3136
MT;152;3259
MT;153;3201
MT;154;3131
MT;155;3083
MT;156;3068
MT;157;3093
MT;158;3026
MT;159;2862
MT;160;2905
MT;161;2796
MT;162;2752
MT;163;2750
MT;164;2784
MT;165;2624
MT;166;2694
MT;167;2571
MT;168;2675
MT;169;2552
MT;170;2480
MT;171;2506
MT;172;2448
MT;173;2514
MT;174;2319
MT;175;2362
MT;176;2364
MT;177;2380
MT;178;2234
MT;179;2241
MT;180;2306
MT;181;2254
MT;182;2183
MT;183;2182
MT;184;2141
MT;185;2080
MT;186;2183
MT;187;2077
MT;188;2188
MT;189;1935
MT;190;2040
MT;191;1974
MT;192;2003
MT;193;1922
MT;194;1923
MT;195;1989
MT;196;1949
MT;197;1859
MT;198;1985
MT;199;1895
MT;200;1980
MT;201;1816
MT;202;1882
MT;203;1773
MT;204;1848
MT;205;1777
MT;206;1775
MT;207;1773
MT;208;1750
MT;209;1728
MT;210;1777
MT;211;1716
MT;212;1686
MT;213;1814
MT;214;1644
MT;215;1616
MT;216;1639
