uf;segundos_depois;frequencia
PA;-1;18380
PA;1;3
PA;2;8
PA;3;3
PA;4;2
PA;5;7
PA;6;2
PA;7;11
PA;8;4
PA;9;6
PA;10;6
PA;11;5
PA;12;5
PA;13;5
PA;14;1
PA;15;3
PA;16;5
PA;17;4
PA;18;27
PA;19;40
PA;20;93
PA;21;258
PA;22;570
PA;23;1098
PA;24;2228
PA;25;3873
PA;26;6143
PA;27;9537
PA;28;13642
PA;29;19111
PA;30;25140
PA;31;31675
PA;32;38149
PA;33;45566
PA;34;52222
PA;35;58441
PA;36;64119
PA;37;68445
PA;38;72382
PA;39;74486
PA;40;75782
PA;41;77276
PA;42;78512
PA;43;78384
PA;44;77142
PA;45;76903
PA;46;75751
PA;47;74236
PA;48;72407
PA;49;71086
PA;50;68849
PA;51;66449
PA;52;65148
PA;53;63172
PA;54;60704
PA;55;58818
PA;56;57312
PA;57;55005
PA;58;53414
PA;59;51890
PA;60;49764
PA;61;48495
PA;62;46865
PA;63;45852
PA;64;44087
PA;65;42891
PA;66;41222
PA;67;39735
PA;68;38697
PA;69;37982
PA;70;36807
PA;71;35488
PA;72;34364
PA;73;33525
PA;74;32617
PA;75;31569
PA;76;31006
PA;77;30139
PA;78;29500
PA;79;28784
PA;80;27625
PA;81;27110
PA;82;26650
PA;83;25748
PA;84;25240
PA;85;24838
PA;86;24187
PA;87;23517
PA;88;23119
PA;89;22926
PA;90;22378
PA;91;21528
PA;92;21292
PA;93;20644
PA;94;20595
PA;95;19968
PA;96;19753
PA;97;19166
PA;98;18766
PA;99;18305
PA;100;17973
PA;101;17584
PA;102;17028
PA;103;16812
PA;104;16472
PA;105;16013
PA;106;16129
PA;107;15649
PA;108;15325
PA;109;14726
PA;110;14688
PA;111;14168
PA;112;14123
PA;113;13663
PA;114;13275
PA;115;13277
PA;116;13052
PA;117;12734
PA;118;12610
PA;119;12080
PA;120;12065
PA;121;11736
PA;122;11515
PA;123;11293
PA;124;11123
PA;125;10774
PA;126;10920
PA;127;10649
PA;128;10348
PA;129;10229
PA;130;10063
PA;131;9915
PA;132;9726
PA;133;9853
PA;134;9379
PA;135;9307
PA;136;9140
PA;137;9013
PA;138;8757
PA;139;8689
PA;140;8616
PA;141;8581
PA;142;8276
PA;143;8133
PA;144;8229
PA;145;7935
PA;146;7873
PA;147;7631
PA;148;7763
PA;149;7523
PA;150;7315
PA;151;7438
PA;152;7154
PA;153;7011
PA;154;6877
PA;155;6882
PA;156;6705
PA;157;6737
PA;158;6770
PA;159;6493
PA;160;6415
PA;161;6395
PA;162;6287
PA;163;6189
PA;164;6064
PA;165;5989
PA;166;6068
PA;167;5765
PA;168;5840
PA;169;5793
PA;170;5667
PA;171;5591
PA;172;5570
PA;173;5381
PA;174;5508
PA;175;5374
PA;176;5358
PA;177;5219
PA;178;5103
PA;179;5116
PA;180;5048
PA;181;4900
PA;182;4948
PA;183;4889
PA;184;4739
PA;185;4822
PA;186;4753
PA;187;4805
PA;188;4867
PA;189;4631
PA;190;4516
PA;191;4542
PA;192;4592
PA;193;4385
PA;194;4402
PA;195;4267
PA;196;4324
PA;197;4196
PA;198;4247
PA;199;4136
PA;200;4023
PA;201;4067
PA;202;4009
PA;203;4052
PA;204;3934
PA;205;3969
PA;206;3852
PA;207;3912
PA;208;3892
PA;209;3883
PA;210;3799
PA;211;3727
PA;212;3668
