uf;segundos_depois;frequencia
PB;-1;9650
PB;20;3
PB;21;7
PB;22;12
PB;23;36
PB;24;69
PB;25;172
PB;26;393
PB;27;696
PB;28;1334
PB;29;2329
PB;30;3685
PB;31;5586
PB;32;7803
PB;33;10474
PB;34;13708
PB;35;16998
PB;36;20472
PB;37;23996
PB;38;27359
PB;39;30214
PB;40;32975
PB;41;35075
PB;42;37033
PB;43;38844
PB;44;39261
PB;45;40365
PB;46;40597
PB;47;41097
PB;48;40800
PB;49;40232
PB;50;39895
PB;51;39481
PB;52;38605
PB;53;37754
PB;54;37014
PB;55;36184
PB;56;35099
PB;57;34283
PB;58;33187
PB;59;32836
PB;60;31641
PB;61;30696
PB;62;30066
PB;63;28695
PB;64;28061
PB;65;26812
PB;66;26114
PB;67;25532
PB;68;24641
PB;69;24167
PB;70;23395
PB;71;22503
PB;72;21888
PB;73;21238
PB;74;20501
PB;75;20274
PB;76;19762
PB;77;19060
PB;78;18690
PB;79;18011
PB;80;17630
PB;81;17215
PB;82;16788
PB;83;16410
PB;84;15840
PB;85;15428
PB;86;15222
PB;87;14739
PB;88;14397
PB;89;14052
PB;90;13737
PB;91;13614
PB;92;13112
PB;93;13209
PB;94;12795
PB;95;12399
PB;96;11984
PB;97;11819
PB;98;11447
PB;99;11503
PB;100;11299
PB;101;10865
PB;102;10874
PB;103;10632
PB;104;10326
PB;105;10216
PB;106;9923
PB;107;9817
PB;108;9666
PB;109;9202
PB;110;8965
PB;111;9033
PB;112;8809
PB;113;8672
PB;114;8792
PB;115;8316
PB;116;8228
PB;117;7968
PB;118;7916
PB;119;7776
PB;120;7432
PB;121;7464
PB;122;7329
PB;123;7061
PB;124;7087
PB;125;7029
PB;126;6781
PB;127;6627
PB;128;6616
PB;129;6539
PB;130;6377
PB;131;6137
PB;132;6145
PB;133;6092
PB;134;6080
PB;135;5852
PB;136;5832
PB;137;5601
PB;138;5514
PB;139;5411
PB;140;5275
PB;141;5188
PB;142;5278
PB;143;5155
PB;144;5124
PB;145;4914
PB;146;4946
PB;147;4956
PB;148;4761
PB;149;4717
PB;150;4743
PB;151;4476
PB;152;4462
PB;153;4489
PB;154;4346
PB;155;4249
PB;156;4221
PB;157;4087
PB;158;4063
PB;159;4045
PB;160;3958
PB;161;3892
PB;162;4002
PB;163;3782
PB;164;3694
PB;165;3808
PB;166;3732
PB;167;3629
PB;168;3622
PB;169;3566
PB;170;3556
PB;171;3507
PB;172;3403
PB;173;3441
PB;174;3280
PB;175;3352
PB;176;3160
PB;177;3144
PB;178;3187
PB;179;3182
PB;180;3099
PB;181;3105
PB;182;3006
PB;183;2873
PB;184;2932
PB;185;2936
PB;186;2853
PB;187;2846
PB;188;2832
PB;189;2732
PB;190;2775
PB;191;2698
PB;192;2670
PB;193;2572
PB;194;2667
PB;195;2688
PB;196;2576
PB;197;2556
PB;198;2635
PB;199;2527
PB;200;2421
PB;201;2421
PB;202;2482
PB;203;2447
PB;204;2400
PB;205;2380
PB;206;2417
PB;207;2294
PB;208;2233
PB;209;2233
PB;210;2214
PB;211;2107
PB;212;2175
PB;213;2098
PB;214;2154
PB;215;2180
PB;216;2115
PB;217;2128
PB;218;2042
PB;219;2020
PB;220;2046
PB;221;2078
PB;222;2030
PB;223;1976
PB;224;1936
PB;225;1913
PB;226;2007
PB;227;1938
PB;228;1857
PB;229;1883
PB;230;1874
PB;231;1783
PB;232;1841
PB;233;1786
PB;234;1775
PB;235;1794
PB;236;1839
PB;237;1779
PB;238;1763
PB;239;1762
PB;240;1741
PB;241;1679
PB;242;1682
PB;243;1719
PB;244;1641
PB;245;1699
PB;246;1654
PB;247;1662
PB;248;1664
PB;249;1568
PB;250;1623
PB;251;1584
PB;252;1477
PB;253;1542
PB;254;1511
PB;255;1514
PB;256;1496
PB;257;1479
PB;258;1401
PB;259;1461
PB;260;1495
PB;261;1449
PB;262;1451
PB;263;1478
PB;264;1408
PB;265;1360
PB;266;1412
PB;267;1397
PB;268;1399
PB;269;1399
PB;270;1419
PB;271;1373
PB;272;1337
PB;273;1353
PB;274;1294
PB;275;1318
PB;276;1336
PB;277;1287
PB;278;1326
PB;279;1264
PB;280;1356
PB;281;1267
PB;282;1291
PB;283;1240
PB;284;1288
PB;285;1265
PB;286;1156
PB;287;1183
PB;288;1230
PB;289;1236
PB;290;1174
PB;291;1165
PB;292;1176
PB;293;1068
PB;294;1156
PB;295;1139
PB;296;1149
PB;297;1137
PB;298;1058
PB;299;1115
PB;300;1057
PB;301;1095
PB;302;1064
PB;303;1103
PB;304;1052
PB;305;1013
PB;306;1084
PB;307;1069
PB;308;1070
PB;309;1014
PB;310;1009
PB;311;1027
PB;312;1072
PB;313;972
PB;314;997
PB;315;1044
PB;316;961
PB;317;988
PB;318;951
PB;319;983
PB;320;1011
PB;321;974
PB;322;895
PB;323;954
PB;324;925
PB;325;936
PB;326;899
PB;327;939
PB;328;968
PB;329;920
PB;330;962
PB;331;907
PB;332;841
PB;333;894
PB;334;891
PB;335;872
PB;336;826
PB;337;867
PB;338;837
PB;339;823
PB;340;811
PB;341;810
PB;342;837
PB;343;847
PB;344;818
PB;345;844
PB;346;822
PB;347;843
PB;348;849
PB;349;764
PB;350;763
PB;351;797
PB;352;785
PB;353;821
PB;354;829
PB;355;814
PB;356;735
PB;357;758
PB;358;757
PB;359;782
PB;360;746
PB;361;784
PB;362;755
PB;363;766
PB;364;726
PB;365;710
PB;366;686
PB;367;728
PB;368;723
PB;369;637
PB;370;697
PB;371;679
PB;372;671
PB;373;696
PB;374;680
PB;375;713
PB;376;656
PB;377;685
PB;378;629
PB;379;689
PB;380;617
PB;381;641
PB;382;613
PB;383;625
PB;384;636
PB;385;655
PB;386;602
PB;387;654
PB;388;639
PB;389;623
PB;390;627
PB;391;644
PB;392;615
PB;393;597
PB;394;610
PB;395;592
PB;396;574
PB;397;599
PB;398;596
PB;399;583
PB;400;544
PB;401;566
PB;402;561
PB;403;573
PB;404;568
PB;405;564
PB;406;608
PB;407;524
PB;408;574
PB;409;524
PB;410;528
PB;411;536
PB;412;532
PB;413;496
PB;414;507
PB;415;502
PB;416;523
PB;417;506
PB;418;481
PB;419;495
PB;420;498
PB;421;488
PB;422;481
PB;423;496
PB;424;508
PB;425;472
PB;426;510
PB;427;503
PB;428;421
PB;429;495
PB;430;477
PB;431;452
PB;432;508
PB;433;449
PB;434;468
PB;435;484
PB;436;471
PB;437;477
PB;438;476
PB;439;450
PB;440;444
PB;441;438
PB;442;433
PB;443;430
PB;444;459
PB;445;429
PB;446;449
PB;447;407
PB;448;427
PB;449;443
PB;450;422
PB;451;406
PB;452;457
PB;453;368
PB;454;399
PB;455;382
PB;456;376
PB;457;374
PB;458;389
PB;459;408
PB;460;380
PB;461;381
PB;462;366
PB;463;373
PB;464;408
PB;465;377
PB;466;424
PB;467;353
PB;468;412
PB;469;368
PB;470;370
PB;471;360
PB;472;373
PB;473;371
PB;474;364
PB;475;347
PB;476;361
PB;477;356
PB;478;369
PB;479;354
PB;480;367
PB;481;352
PB;482;351
PB;483;356
PB;484;337
PB;485;353
PB;486;332
PB;487;336
PB;488;349
PB;489;347
PB;490;318
PB;491;329
PB;492;340
PB;493;325
PB;494;350
PB;495;324
PB;496;323
PB;497;296
PB;498;334
PB;499;295
PB;500;305
PB;501;295
PB;502;314
PB;503;318
PB;504;335
PB;505;317
PB;506;299
PB;507;251
PB;508;284
PB;509;299
PB;510;317
PB;511;296
PB;512;255
PB;513;322
PB;514;262
PB;515;288
PB;516;274
PB;517;273
PB;518;278
PB;519;277
PB;520;260
PB;521;263
PB;522;305
PB;523;262
PB;524;267
PB;525;281
PB;526;301
PB;527;280
PB;528;270
PB;529;285
PB;530;260
PB;531;271
PB;532;245
PB;533;273
PB;534;269
PB;535;241
PB;536;232
PB;537;253
PB;538;250
PB;539;230
PB;540;226
PB;541;220
PB;542;266
PB;543;244
PB;544;209
PB;545;238
PB;546;215
PB;547;239
PB;548;225
PB;549;244
PB;550;217
PB;551;235
PB;552;223
PB;553;228
PB;554;231
PB;555;213
PB;556;206
PB;557;224
PB;558;229
PB;559;222
PB;560;203
PB;561;210
PB;562;224
PB;563;211
PB;564;211
PB;565;215
PB;566;226
PB;567;203
PB;568;187
PB;569;212
PB;570;196
PB;571;202
PB;572;210
PB;573;225
PB;574;186
PB;575;212
PB;576;187
PB;577;179
PB;578;218
PB;579;186
PB;580;187
PB;581;199
PB;582;206
PB;583;183
PB;584;203
PB;585;194
PB;586;181
PB;587;200
PB;588;171
PB;589;188
PB;590;183
PB;591;183
PB;592;200
PB;593;181
PB;594;194
PB;595;175
PB;596;171
PB;597;166
PB;598;187
PB;599;189
PB;600;151
PB;601;159
PB;602;166
PB;603;159
PB;604;199
PB;605;176
PB;606;174
PB;607;154
PB;608;175
PB;609;191
PB;610;157
PB;611;167
PB;612;168
PB;613;167
PB;614;177
PB;615;151
PB;616;158
PB;617;162
PB;618;159
PB;619;155
PB;620;147
PB;621;129
PB;622;149
PB;623;148
PB;624;132
PB;625;148
PB;626;150
PB;627;162
PB;628;157
PB;629;135
PB;630;154
PB;631;153
PB;632;153
PB;633;132
PB;634;124
PB;635;127
PB;636;146
PB;637;157
PB;638;134
PB;639;167
PB;640;143
PB;641;143
PB;642;124
PB;643;146
PB;644;145
PB;645;136
PB;646;157
PB;647;123
PB;648;129
PB;649;128
PB;650;141
PB;651;138
PB;652;130
PB;653;125
PB;654;118
PB;655;122
PB;656;122
PB;657;114
PB;658;143
PB;659;121
PB;660;132
PB;661;108
PB;662;122
PB;663;110
PB;664;124
PB;665;109
PB;666;121
PB;667;134
PB;668;136
PB;669;126
PB;670;106
PB;671;115
PB;672;118
PB;673;122
PB;674;112
PB;675;115
PB;676;102
PB;677;100
PB;678;138
PB;679;124
PB;680;127
PB;681;97
PB;682;106
PB;683;116
PB;684;105
PB;685;117
PB;686;107
PB;687;113
PB;688;133
PB;689;99
PB;690;99
PB;691;118
PB;692;119
PB;693;100
PB;694;101
PB;695;93
PB;696;90
PB;697;90
PB;698;98
PB;699;106
PB;700;95
PB;701;97
PB;702;95
PB;703;91
PB;704;94
PB;705;90
PB;706;87
PB;707;91
PB;708;88
PB;709;103
PB;710;89
PB;711;84
PB;712;69
PB;713;90
PB;714;100
PB;715;99
PB;716;95
PB;717;81
PB;718;88
PB;719;83
PB;720;94
PB;721;97
PB;722;83
PB;723;97
PB;724;81
PB;725;87
PB;726;85
PB;727;79
PB;728;87
PB;729;76
PB;730;90
PB;731;78
PB;732;79
PB;733;87
PB;734;68
PB;735;76
PB;736;77
PB;737;75
PB;738;80
PB;739;93
PB;740;78
PB;741;91
PB;742;89
PB;743;77
PB;744;85
PB;745;82
PB;746;88
PB;747;70
PB;748;73
PB;749;92
PB;750;67
PB;751;88
PB;752;80
PB;753;65
PB;754;71
PB;755;68
PB;756;56
PB;757;76
PB;758;71
PB;759;68
PB;760;90
PB;761;85
PB;762;59
PB;763;88
PB;764;62
PB;765;78
PB;766;61
PB;767;66
PB;768;65
PB;769;62
PB;770;78
PB;771;65
PB;772;67
PB;773;74
PB;774;72
PB;775;75
PB;776;71
PB;777;53
PB;778;68
PB;779;64
PB;780;69
PB;781;60
PB;782;63
PB;783;56
PB;784;74
PB;785;62
PB;786;64
PB;787;52
PB;788;79
PB;789;63
PB;790;70
PB;791;70
PB;792;71
PB;793;60
PB;794;69
PB;795;68
PB;796;66
PB;797;60
PB;798;61
PB;799;71
PB;800;66
PB;801;64
PB;802;61
PB;803;62
PB;804;59
PB;805;60
PB;806;50
PB;807;51
PB;808;58
PB;809;75
PB;810;58
PB;811;59
PB;812;60
PB;813;53
PB;814;58
PB;815;57
PB;816;58
PB;817;55
PB;818;51
PB;819;51
PB;820;52
PB;821;66
PB;822;53
PB;823;56
PB;824;49
PB;825;43
PB;826;58
PB;827;46
PB;828;43
PB;829;56
PB;830;45
PB;831;48
PB;832;42
PB;833;41
PB;834;47
PB;835;46
PB;836;61
PB;837;46
PB;838;47
PB;839;46
PB;840;70
PB;841;47
PB;842;39
PB;843;47
PB;844;52
PB;845;53
PB;846;33
PB;847;51
PB;848;55
PB;849;51
PB;850;46
PB;851;49
PB;852;39
