uf;segundos_depois;frequencia
PE;-1;20716
PE;0;1
PE;1;1
PE;2;1
PE;3;4
PE;4;2
PE;5;1
PE;6;1
PE;7;1
PE;8;2
PE;9;1
PE;10;2
PE;11;3
PE;14;3
PE;15;1
PE;16;2
PE;17;3
PE;18;4
PE;19;4
PE;20;22
PE;21;51
PE;22;95
PE;23;241
PE;24;518
PE;25;990
PE;26;1749
PE;27;3098
PE;28;5228
PE;29;8139
PE;30;12272
PE;31;17298
PE;32;23764
PE;33;30767
PE;34;39083
PE;35;47138
PE;36;55059
PE;37;63377
PE;38;70512
PE;39;77245
PE;40;82276
PE;41;86299
PE;42;91008
PE;43;93116
PE;44;94533
PE;45;94889
PE;46;95975
PE;47;95181
PE;48;94589
PE;49;93309
PE;50;91308
PE;51;89946
PE;52;87711
PE;53;86100
PE;54;83554
PE;55;80614
PE;56;79358
PE;57;77089
PE;58;74796
PE;59;72507
PE;60;70781
PE;61;68366
PE;62;66052
PE;63;64304
PE;64;62232
PE;65;59988
PE;66;58740
PE;67;56564
PE;68;54601
PE;69;53172
PE;70;52163
PE;71;50492
PE;72;49123
PE;73;47679
PE;74;46269
PE;75;44992
PE;76;43758
PE;77;42713
PE;78;41321
PE;79;40518
PE;80;39152
PE;81;38310
PE;82;37485
PE;83;36146
PE;84;35759
PE;85;34569
PE;86;33866
PE;87;33159
PE;88;32236
PE;89;31925
PE;90;31134
PE;91;30295
PE;92;29770
PE;93;28970
PE;94;28488
PE;95;27893
PE;96;26974
PE;97;26916
PE;98;26097
PE;99;25676
PE;100;25133
PE;101;24719
PE;102;23903
PE;103;23574
PE;104;22678
PE;105;22523
PE;106;22100
PE;107;21574
PE;108;21019
PE;109;20888
PE;110;20481
PE;111;20108
PE;112;19394
PE;113;18969
PE;114;18936
PE;115;18498
PE;116;18037
PE;117;17451
PE;118;17346
PE;119;16959
PE;120;16847
PE;121;16455
PE;122;15980
PE;123;15707
PE;124;15350
PE;125;15252
PE;126;14765
PE;127;14487
PE;128;14288
PE;129;14236
PE;130;13595
PE;131;13550
PE;132;13304
PE;133;13268
PE;134;12637
PE;135;12492
PE;136;12350
PE;137;12192
PE;138;12048
PE;139;11733
PE;140;11587
PE;141;11331
PE;142;11333
PE;143;11092
PE;144;10747
PE;145;10588
PE;146;10514
PE;147;10388
PE;148;10078
PE;149;10094
PE;150;9962
PE;151;9825
PE;152;9640
PE;153;9273
PE;154;9393
PE;155;9089
PE;156;9098
PE;157;8887
PE;158;8911
PE;159;8721
PE;160;8359
PE;161;8355
PE;162;8167
PE;163;8188
PE;164;7893
PE;165;8025
PE;166;7541
PE;167;7635
PE;168;7535
PE;169;7373
PE;170;7374
PE;171;7147
PE;172;7277
PE;173;7096
PE;174;7046
PE;175;6815
PE;176;6908
PE;177;6666
PE;178;6482
PE;179;6503
PE;180;6482
PE;181;6476
PE;182;6344
PE;183;6239
PE;184;6148
PE;185;6053
PE;186;6156
PE;187;5993
PE;188;6011
PE;189;5852
PE;190;5735
PE;191;5670
PE;192;5686
PE;193;5535
PE;194;5498
PE;195;5480
PE;196;5483
PE;197;5404
PE;198;5315
PE;199;5214
PE;200;5178
PE;201;5021
PE;202;5120
PE;203;4982
PE;204;4965
PE;205;4925
PE;206;4874
PE;207;4809
PE;208;4676
PE;209;4632
PE;210;4715
PE;211;4509
PE;212;4491
PE;213;4528
PE;214;4468
PE;215;4405
PE;216;4449
PE;217;4349
PE;218;4377
PE;219;4325
PE;220;4145
PE;221;4188
PE;222;4189
PE;223;4119
