uf;segundos_depois;frequencia
PI;-1;9023
PI;0;1
PI;1;6
PI;2;5
PI;3;6
PI;4;10
PI;5;2
PI;6;1
PI;7;4
PI;8;6
PI;9;4
PI;10;6
PI;11;3
PI;12;2
PI;13;3
PI;14;2
PI;15;5
PI;16;4
PI;17;9
PI;18;12
PI;19;26
PI;20;48
PI;21;125
PI;22;244
PI;23;468
PI;24;880
PI;25;1623
PI;26;2712
PI;27;3988
PI;28;5799
PI;29;8094
PI;30;10174
PI;31;12804
PI;32;15302
PI;33;17689
PI;34;19862
PI;35;21777
PI;36;23357
PI;37;25068
PI;38;26552
PI;39;26809
PI;40;27567
PI;41;28097
PI;42;28428
PI;43;28980
PI;44;28605
PI;45;28443
PI;46;28397
PI;47;27759
PI;48;27718
PI;49;27394
PI;50;26679
PI;51;26183
PI;52;25804
PI;53;24911
PI;54;24882
PI;55;24268
PI;56;23754
PI;57;22730
PI;58;22545
PI;59;21707
PI;60;20989
PI;61;20417
PI;62;20111
PI;63;19559
PI;64;18925
PI;65;18433
PI;66;17786
PI;67;17680
PI;68;17245
PI;69;16681
PI;70;16181
PI;71;15819
PI;72;15297
PI;73;15286
PI;74;14793
PI;75;14619
PI;76;14325
PI;77;13829
PI;78;13568
PI;79;13093
PI;80;13085
PI;81;12933
PI;82;12476
PI;83;12323
PI;84;11856
PI;85;11859
PI;86;11513
PI;87;11290
PI;88;11158
PI;89;10812
PI;90;10414
PI;91;10441
PI;92;10102
PI;93;10025
PI;94;10005
PI;95;9764
PI;96;9503
PI;97;9443
PI;98;9148
PI;99;8918
PI;100;8794
PI;101;8902
PI;102;8610
PI;103;8345
PI;104;8096
PI;105;8057
PI;106;8034
PI;107;7693
PI;108;7726
PI;109;7412
PI;110;7352
PI;111;7218
PI;112;7122
PI;113;6895
PI;114;7009
PI;115;6636
PI;116;6661
PI;117;6352
PI;118;6347
PI;119;6195
PI;120;6072
PI;121;6117
PI;122;6104
PI;123;5707
PI;124;5609
PI;125;5570
PI;126;5501
PI;127;5225
PI;128;5331
PI;129;5270
PI;130;5020
PI;131;5106
PI;132;4937
PI;133;4906
PI;134;4821
PI;135;4682
PI;136;4623
PI;137;4650
PI;138;4480
PI;139;4450
PI;140;4354
PI;141;4229
