uf;segundos_depois;frequencia
PR;-1;25896
PR;0;1
PR;1;2
PR;2;1
PR;3;2
PR;4;4
PR;5;6
PR;6;3
PR;8;1
PR;9;3
PR;10;7
PR;11;1
PR;12;4
PR;13;3
PR;14;1
PR;15;3
PR;16;6
PR;17;22
PR;18;66
PR;19;118
PR;20;262
PR;21;594
PR;22;1261
PR;23;2321
PR;24;4422
PR;25;8101
PR;26;13068
PR;27;20012
PR;28;28880
PR;29;38591
PR;30;49359
PR;31;60833
PR;32;72168
PR;33;81729
PR;34;90838
PR;35;98798
PR;36;104732
PR;37;109626
PR;38;112739
PR;39;114174
PR;40;114380
PR;41;113986
PR;42;113281
PR;43;111613
PR;44;109430
PR;45;106686
PR;46;104380
PR;47;102406
PR;48;99764
PR;49;96874
PR;50;94594
PR;51;92138
PR;52;89313
PR;53;85962
PR;54;83960
PR;55;81102
PR;56;77920
PR;57;75584
PR;58;73376
PR;59;70843
PR;60;68874
PR;61;66216
PR;62;64958
PR;63;62579
PR;64;60282
PR;65;58345
PR;66;56639
PR;67;55165
PR;68;53328
PR;69;51765
PR;70;50136
PR;71;48642
PR;72;47079
PR;73;46020
PR;74;44951
PR;75;44189
PR;76;42680
PR;77;41472
PR;78;40561
PR;79;39404
PR;80;38445
PR;81;37658
PR;82;36573
PR;83;36016
PR;84;34891
PR;85;34690
PR;86;33739
PR;87;33178
PR;88;32414
PR;89;31300
PR;90;30926
PR;91;30495
PR;92;30044
PR;93;29404
PR;94;28360
PR;95;27719
PR;96;27508
PR;97;26792
PR;98;26333
PR;99;25958
PR;100;25201
PR;101;24579
PR;102;24755
PR;103;23772
PR;104;23548
PR;105;23155
PR;106;22815
PR;107;22304
PR;108;21535
PR;109;21077
PR;110;20756
PR;111;20270
PR;112;20182
PR;113;19944
PR;114;19320
PR;115;19341
PR;116;18817
PR;117;18793
PR;118;18226
PR;119;18066
PR;120;17607
PR;121;17131
PR;122;16911
PR;123;16645
PR;124;16327
PR;125;16295
PR;126;16014
PR;127;15586
PR;128;15562
PR;129;15220
PR;130;15048
PR;131;14672
PR;132;14326
PR;133;14380
PR;134;14223
PR;135;13982
PR;136;13787
PR;137;13535
PR;138;13607
PR;139;13350
PR;140;13058
PR;141;12886
PR;142;12806
PR;143;12644
PR;144;12280
PR;145;12454
PR;146;12057
PR;147;12011
PR;148;11477
PR;149;11532
PR;150;11320
PR;151;11419
PR;152;11093
PR;153;10896
PR;154;10767
PR;155;10615
PR;156;10589
PR;157;10443
PR;158;10335
PR;159;10261
PR;160;10136
PR;161;9836
PR;162;9715
PR;163;9673
PR;164;9434
PR;165;9366
PR;166;9297
PR;167;9155
PR;168;9211
PR;169;8922
PR;170;8990
PR;171;8944
PR;172;8771
PR;173;8640
PR;174;8670
PR;175;8618
PR;176;8260
PR;177;8238
PR;178;8282
PR;179;8293
