uf;segundos_depois;frequencia
RN;-1;7716
RN;16;1
RN;17;3
RN;18;5
RN;19;25
RN;20;63
RN;21;134
RN;22;382
RN;23;782
RN;24;1491
RN;25;2562
RN;26;4006
RN;27;5974
RN;28;8498
RN;29;11418
RN;30;14546
RN;31;17593
RN;32;20785
RN;33;24008
RN;34;26389
RN;35;28936
RN;36;31094
RN;37;32245
RN;38;33446
RN;39;34306
RN;40;34778
RN;41;34695
RN;42;35031
RN;43;34891
RN;44;33863
RN;45;33395
RN;46;32375
RN;47;31691
RN;48;30951
RN;49;30272
RN;50;29061
RN;51;28302
RN;52;27249
RN;53;26811
RN;54;25287
RN;55;24927
RN;56;23957
RN;57;23236
RN;58;22699
RN;59;21819
RN;60;20913
RN;61;20442
RN;62;19803
RN;63;19033
RN;64;18709
RN;65;18238
RN;66;17615
RN;67;16998
RN;68;16453
RN;69;16142
RN;70;15634
RN;71;15685
RN;72;14870
RN;73;14677
RN;74;14319
RN;75;13845
RN;76;13476
RN;77;13193
RN;78;13003
RN;79;12899
RN;80;12501
RN;81;12077
RN;82;11831
RN;83;12067
RN;84;11376
RN;85;11201
RN;86;11167
RN;87;10664
RN;88;10546
RN;89;10521
RN;90;10308
RN;91;10032
RN;92;9809
RN;93;9459
RN;94;9528
RN;95;9064
RN;96;9016
RN;97;8845
RN;98;8803
RN;99;8764
RN;100;8429
RN;101;8295
RN;102;8146
RN;103;7794
RN;104;7731
RN;105;7572
RN;106;7299
RN;107;7268
RN;108;7139
RN;109;7038
RN;110;6790
RN;111;6628
RN;112;6558
RN;113;6578
RN;114;6466
RN;115;6240
RN;116;6121
RN;117;5938
RN;118;5959
RN;119;5806
RN;120;5646
RN;121;5504
RN;122;5542
RN;123;5372
RN;124;5249
RN;125;5105
RN;126;5173
RN;127;5088
RN;128;4858
RN;129;4686
RN;130;4781
RN;131;4615
RN;132;4609
RN;133;4500
RN;134;4516
RN;135;4412
RN;136;4287
RN;137;4056
RN;138;4211
RN;139;4061
RN;140;3984
RN;141;3905
RN;142;3903
RN;143;3739
RN;144;3698
RN;145;3775
RN;146;3710
RN;147;3676
RN;148;3559
RN;149;3520
RN;150;3436
RN;151;3328
RN;152;3346
RN;153;3206
RN;154;3208
RN;155;3106
RN;156;3176
RN;157;3135
RN;158;3081
RN;159;2988
RN;160;3020
RN;161;2953
RN;162;2886
RN;163;2880
RN;164;2958
RN;165;2891
RN;166;2708
RN;167;2745
RN;168;2688
RN;169;2519
RN;170;2653
RN;171;2604
RN;172;2501
RN;173;2455
RN;174;2464
RN;175;2480
RN;176;2488
RN;177;2506
RN;178;2309
RN;179;2311
RN;180;2260
RN;181;2313
