uf;segundos_depois;frequencia
RO;-1;4224
RO;21;1
RO;22;1
RO;23;4
RO;24;9
RO;25;18
RO;26;47
RO;27;82
RO;28;164
RO;29;319
RO;30;566
RO;31;872
RO;32;1274
RO;33;1848
RO;34;2473
RO;35;3228
RO;36;4021
RO;37;4998
RO;38;5789
RO;39;6784
RO;40;7414
RO;41;8370
RO;42;9113
RO;43;9681
RO;44;10265
RO;45;10702
RO;46;10880
RO;47;11232
RO;48;11507
RO;49;11506
RO;50;11748
RO;51;11544
RO;52;11602
RO;53;11473
RO;54;11448
RO;55;11375
RO;56;11174
RO;57;11027
RO;58;10840
RO;59;10533
RO;60;10453
RO;61;10195
RO;62;9956
RO;63;9723
RO;64;9685
RO;65;9461
RO;66;9199
RO;67;9087
RO;68;8869
RO;69;8684
RO;70;8514
RO;71;8128
RO;72;8100
RO;73;7768
RO;74;7719
RO;75;7566
RO;76;7205
RO;77;7155
RO;78;6864
RO;79;6730
RO;80;6492
RO;81;6454
RO;82;6344
RO;83;6206
RO;84;6019
RO;85;5871
RO;86;5894
RO;87;5697
RO;88;5593
RO;89;5542
RO;90;5386
RO;91;5320
RO;92;5245
RO;93;5042
RO;94;5071
RO;95;4938
RO;96;4882
RO;97;4756
RO;98;4689
RO;99;4489
RO;100;4565
RO;101;4531
RO;102;4254
RO;103;4252
RO;104;4183
RO;105;4062
RO;106;4028
RO;107;3968
RO;108;3784
RO;109;3688
RO;110;3722
RO;111;3656
RO;112;3527
RO;113;3456
RO;114;3446
RO;115;3287
RO;116;3246
RO;117;3334
RO;118;3206
RO;119;3142
RO;120;3092
RO;121;3029
RO;122;3106
RO;123;2918
RO;124;2862
RO;125;2845
RO;126;2879
RO;127;2782
RO;128;2748
RO;129;2659
RO;130;2588
RO;131;2601
RO;132;2610
RO;133;2441
RO;134;2472
RO;135;2441
RO;136;2442
RO;137;2453
RO;138;2408
RO;139;2228
RO;140;2266
RO;141;2255
RO;142;2220
RO;143;2164
RO;144;2111
RO;145;2062
RO;146;2017
RO;147;2008
RO;148;2028
RO;149;1920
RO;150;1991
RO;151;1933
RO;152;1893
RO;153;1867
RO;154;1747
RO;155;1805
RO;156;1774
RO;157;1773
RO;158;1713
RO;159;1714
RO;160;1663
RO;161;1727
RO;162;1676
RO;163;1658
RO;164;1556
RO;165;1567
RO;166;1524
RO;167;1543
RO;168;1467
RO;169;1479
RO;170;1466
RO;171;1404
RO;172;1419
RO;173;1426
RO;174;1481
RO;175;1423
RO;176;1447
RO;177;1363
RO;178;1367
RO;179;1285
RO;180;1287
RO;181;1310
RO;182;1287
RO;183;1319
RO;184;1319
RO;185;1249
RO;186;1235
RO;187;1262
RO;188;1213
RO;189;1192
RO;190;1202
RO;191;1194
RO;192;1171
RO;193;1142
RO;194;1094
RO;195;1122
RO;196;1096
RO;197;1114
RO;198;1090
RO;199;1078
RO;200;1064
RO;201;1045
RO;202;1036
RO;203;1055
RO;204;1043
RO;205;991
RO;206;1028
RO;207;1027
RO;208;979
RO;209;1008
RO;210;1005
RO;211;995
RO;212;990
RO;213;981
RO;214;972
RO;215;896
RO;216;897
RO;217;915
RO;218;907
RO;219;862
RO;220;906
RO;221;932
RO;222;973
RO;223;847
RO;224;904
RO;225;853
RO;226;887
RO;227;875
RO;228;835
RO;229;857
RO;230;837
RO;231;813
RO;232;855
RO;233;859
RO;234;883
RO;235;831
RO;236;790
RO;237;749
RO;238;788
RO;239;748
RO;240;773
RO;241;780
RO;242;732
RO;243;753
RO;244;774
RO;245;733
RO;246;739
RO;247;729
RO;248;691
RO;249;738
RO;250;708
RO;251;731
RO;252;689
RO;253;698
RO;254;708
RO;255;701
RO;256;669
RO;257;681
RO;258;680
RO;259;680
RO;260;724
RO;261;642
RO;262;641
RO;263;675
RO;264;663
RO;265;692
RO;266;640
RO;267;640
RO;268;637
RO;269;641
RO;270;655
RO;271;644
RO;272;588
RO;273;665
RO;274;609
RO;275;551
RO;276;601
RO;277;580
RO;278;590
RO;279;591
RO;280;585
RO;281;586
RO;282;547
RO;283;561
RO;284;523
RO;285;571
RO;286;566
RO;287;591
RO;288;553
RO;289;550
RO;290;556
RO;291;536
RO;292;571
RO;293;563
RO;294;555
RO;295;532
RO;296;509
RO;297;552
RO;298;514
RO;299;527
RO;300;504
RO;301;512
RO;302;515
RO;303;523
RO;304;534
RO;305;451
RO;306;534
RO;307;516
RO;308;502
RO;309;511
RO;310;520
RO;311;490
RO;312;516
RO;313;465
RO;314;474
RO;315;470
RO;316;470
RO;317;481
RO;318;460
RO;319;498
RO;320;429
RO;321;423
RO;322;441
RO;323;454
RO;324;454
RO;325;429
RO;326;462
RO;327;463
RO;328;409
RO;329;408
RO;330;449
RO;331;423
RO;332;470
RO;333;445
RO;334;477
RO;335;420
RO;336;468
RO;337;400
RO;338;424
RO;339;427
RO;340;402
RO;341;419
RO;342;410
RO;343;387
RO;344;367
RO;345;376
RO;346;390
RO;347;404
RO;348;396
RO;349;397
RO;350;366
RO;351;376
RO;352;359
RO;353;357
RO;354;384
RO;355;354
RO;356;374
RO;357;369
RO;358;356
RO;359;354
RO;360;360
RO;361;351
RO;362;373
RO;363;333
RO;364;366
RO;365;353
RO;366;374
RO;367;326
RO;368;366
RO;369;334
RO;370;339
RO;371;352
RO;372;373
RO;373;312
RO;374;345
RO;375;375
RO;376;347
RO;377;350
RO;378;343
RO;379;334
RO;380;320
RO;381;314
RO;382;302
RO;383;305
RO;384;326
RO;385;307
RO;386;337
RO;387;305
RO;388;327
RO;389;295
RO;390;318
RO;391;294
RO;392;304
RO;393;327
RO;394;301
RO;395;283
RO;396;303
RO;397;288
RO;398;292
RO;399;306
RO;400;258
RO;401;307
RO;402;261
RO;403;295
RO;404;269
RO;405;271
RO;406;296
RO;407;275
RO;408;258
RO;409;278
RO;410;247
RO;411;255
RO;412;272
RO;413;252
RO;414;260
RO;415;271
RO;416;292
RO;417;234
RO;418;264
RO;419;270
RO;420;269
RO;421;281
RO;422;246
RO;423;264
RO;424;263
RO;425;278
RO;426;235
RO;427;240
RO;428;257
RO;429;199
RO;430;239
RO;431;240
RO;432;250
RO;433;217
RO;434;222
RO;435;242
RO;436;224
RO;437;228
RO;438;250
RO;439;231
RO;440;219
RO;441;246
RO;442;227
RO;443;241
RO;444;230
RO;445;228
RO;446;229
RO;447;184
RO;448;223
RO;449;196
RO;450;214
RO;451;223
RO;452;211
RO;453;209
RO;454;229
RO;455;182
RO;456;209
RO;457;220
RO;458;235
RO;459;203
RO;460;226
RO;461;213
RO;462;215
RO;463;211
RO;464;215
RO;465;189
RO;466;197
RO;467;196
RO;468;204
RO;469;161
RO;470;207
RO;471;179
RO;472;200
RO;473;190
RO;474;198
RO;475;196
RO;476;185
RO;477;177
RO;478;189
RO;479;191
RO;480;229
RO;481;180
RO;482;181
RO;483;187
RO;484;174
RO;485;147
RO;486;161
RO;487;180
RO;488;188
RO;489;191
RO;490;183
RO;491;157
RO;492;203
RO;493;181
RO;494;175
RO;495;178
RO;496;181
RO;497;177
RO;498;189
RO;499;164
RO;500;182
RO;501;145
RO;502;164
RO;503;168
RO;504;161
RO;505;148
RO;506;154
RO;507;161
RO;508;158
RO;509;178
RO;510;172
RO;511;149
RO;512;159
RO;513;179
RO;514;163
RO;515;161
RO;516;148
RO;517;149
RO;518;154
RO;519;163
RO;520;135
RO;521;173
RO;522;149
RO;523;132
RO;524;153
RO;525;161
RO;526;137
RO;527;163
RO;528;157
RO;529;145
RO;530;149
RO;531;142
RO;532;159
RO;533;158
RO;534;145
RO;535;132
RO;536;151
RO;537;159
RO;538;150
RO;539;135
RO;540;147
RO;541;154
RO;542;131
RO;543;135
RO;544;137
RO;545;120
RO;546;145
RO;547;116
RO;548;142
RO;549;143
RO;550;127
RO;551;138
RO;552;137
RO;553;142
RO;554;117
