uf;segundos_depois;frequencia
RR;-1;1269
RR;21;6
RR;22;6
RR;23;11
RR;24;47
RR;25;87
RR;26;141
RR;27;231
RR;28;346
RR;29;479
RR;30;718
RR;31;973
RR;32;1327
RR;33;1525
RR;34;1898
RR;35;2153
RR;36;2439
RR;37;2823
RR;38;2860
RR;39;3079
RR;40;3336
RR;41;3306
RR;42;3368
RR;43;3584
RR;44;3668
RR;45;3712
RR;46;3741
RR;47;3694
RR;48;3678
RR;49;3700
RR;50;3645
RR;51;3661
RR;52;3544
RR;53;3503
RR;54;3589
RR;55;3502
RR;56;3375
RR;57;3204
RR;58;3269
RR;59;3179
RR;60;3108
RR;61;3000
RR;62;3024
RR;63;2884
RR;64;2875
RR;65;2844
RR;66;2683
RR;67;2711
RR;68;2566
RR;69;2518
RR;70;2427
RR;71;2433
RR;72;2287
RR;73;2299
RR;74;2225
RR;75;2220
RR;76;2053
RR;77;1983
RR;78;1965
RR;79;1948
RR;80;1816
RR;81;1808
RR;82;1802
RR;83;1814
RR;84;1786
RR;85;1662
RR;86;1596
RR;87;1629
RR;88;1573
RR;89;1535
RR;90;1467
RR;91;1427
RR;92;1350
RR;93;1334
RR;94;1361
RR;95;1248
RR;96;1305
RR;97;1266
RR;98;1225
RR;99;1224
RR;100;1178
RR;101;1145
RR;102;1119
RR;103;1102
RR;104;1094
RR;105;1061
RR;106;1084
RR;107;1019
RR;108;966
RR;109;1010
RR;110;951
RR;111;941
RR;112;960
RR;113;913
RR;114;945
RR;115;898
RR;116;819
RR;117;835
RR;118;817
RR;119;782
RR;120;771
RR;121;792
RR;122;807
RR;123;765
RR;124;734
RR;125;788
RR;126;712
RR;127;733
RR;128;654
RR;129;731
RR;130;703
RR;131;692
RR;132;625
RR;133;657
RR;134;692
RR;135;646
RR;136;662
RR;137;610
RR;138;622
RR;139;650
RR;140;592
RR;141;562
RR;142;574
RR;143;584
RR;144;535
RR;145;539
RR;146;588
RR;147;551
RR;148;530
RR;149;524
RR;150;514
RR;151;509
RR;152;510
RR;153;517
RR;154;487
RR;155;538
RR;156;461
RR;157;469
RR;158;444
RR;159;477
RR;160;502
RR;161;459
RR;162;472
RR;163;430
RR;164;456
RR;165;441
RR;166;427
RR;167;465
RR;168;436
RR;169;428
RR;170;414
RR;171;439
RR;172;396
RR;173;428
RR;174;399
RR;175;369
RR;176;440
RR;177;371
RR;178;402
RR;179;385
RR;180;411
RR;181;406
RR;182;402
RR;183;367
RR;184;370
RR;185;391
RR;186;363
RR;187;378
RR;188;357
RR;189;359
RR;190;320
RR;191;358
RR;192;356
RR;193;330
RR;194;320
RR;195;346
RR;196;355
RR;197;348
RR;198;334
RR;199;344
RR;200;333
RR;201;304
RR;202;299
RR;203;289
RR;204;334
RR;205;336
RR;206;318
RR;207;335
RR;208;291
RR;209;307
RR;210;317
RR;211;281
RR;212;301
RR;213;311
RR;214;281
RR;215;295
RR;216;301
RR;217;299
RR;218;287
RR;219;310
RR;220;291
RR;221;272
RR;222;267
RR;223;254
RR;224;261
RR;225;276
RR;226;286
RR;227;255
RR;228;258
RR;229;227
RR;230;241
