uf;segundos_depois;frequencia
RS;-1;27408
RS;0;4
RS;1;3
RS;2;5
RS;3;4
RS;4;6
RS;5;8
RS;6;5
RS;7;8
RS;8;8
RS;9;6
RS;10;7
RS;11;6
RS;12;5
RS;13;6
RS;14;6
RS;15;5
RS;16;2
RS;17;8
RS;18;6
RS;19;9
RS;20;21
RS;21;72
RS;22;157
RS;23;299
RS;24;660
RS;25;1246
RS;26;2369
RS;27;4154
RS;28;6821
RS;29;10691
RS;30;16304
RS;31;23705
RS;32;31575
RS;33;41070
RS;34;51183
RS;35;61721
RS;36;72107
RS;37;81258
RS;38;89662
RS;39;96270
RS;40;101916
RS;41;105947
RS;42;109190
RS;43;110713
RS;44;111082
RS;45;110337
RS;46;109054
RS;47;108452
RS;48;106367
RS;49;104876
RS;50;102803
RS;51;99989
RS;52;97866
RS;53;95478
RS;54;92918
RS;55;90246
RS;56;88135
RS;57;85525
RS;58;83277
RS;59;80492
RS;60;78154
RS;61;76281
RS;62;73240
RS;63;71811
RS;64;69810
RS;65;67634
RS;66;65539
RS;67;64449
RS;68;61715
RS;69;60452
RS;70;58624
RS;71;57250
RS;72;55059
RS;73;54503
RS;74;52971
RS;75;51945
RS;76;50564
RS;77;49461
RS;78;48059
RS;79;46750
RS;80;45876
RS;81;45413
RS;82;43793
RS;83;42994
RS;84;42266
RS;85;41092
RS;86;40026
RS;87;39142
RS;88;38755
RS;89;37450
RS;90;36111
RS;91;35510
RS;92;35033
RS;93;34531
RS;94;33754
RS;95;32486
RS;96;32108
RS;97;31359
RS;98;30716
RS;99;30162
RS;100;29506
RS;101;28915
RS;102;28195
RS;103;27592
RS;104;26942
RS;105;26143
RS;106;25710
RS;107;25307
RS;108;24626
RS;109;24048
RS;110;23594
RS;111;22878
RS;112;22678
RS;113;22148
RS;114;21873
RS;115;21137
RS;116;20728
RS;117;20340
RS;118;19996
RS;119;19574
RS;120;18898
RS;121;18626
RS;122;18280
RS;123;18101
RS;124;17864
RS;125;17147
RS;126;17202
RS;127;16537
RS;128;16441
RS;129;16254
RS;130;15812
RS;131;15396
RS;132;15335
RS;133;15174
RS;134;14857
RS;135;14593
RS;136;14219
RS;137;13899
RS;138;13930
RS;139;13549
RS;140;13594
RS;141;13457
RS;142;13033
RS;143;12814
RS;144;12527
RS;145;12346
RS;146;12268
RS;147;11975
RS;148;11966
RS;149;11566
RS;150;11527
RS;151;11236
RS;152;11145
RS;153;10823
RS;154;10722
RS;155;10609
RS;156;10515
RS;157;10351
RS;158;10213
RS;159;10044
RS;160;9839
RS;161;9730
RS;162;9788
RS;163;9531
RS;164;9419
RS;165;9308
RS;166;9025
RS;167;9151
RS;168;9077
RS;169;8810
RS;170;8719
RS;171;8422
RS;172;8513
RS;173;8457
RS;174;8231
RS;175;8101
RS;176;7993
RS;177;7903
RS;178;7901
RS;179;7876
RS;180;7889
RS;181;7716
RS;182;7760
RS;183;7655
RS;184;7523
RS;185;7440
RS;186;7295
RS;187;7221
RS;188;7082
RS;189;6997
RS;190;7087
RS;191;6993
RS;192;6957
RS;193;6717
RS;194;6887
RS;195;6711
RS;196;6459
RS;197;6486
RS;198;6327
RS;199;6504
RS;200;6397
RS;201;6236
RS;202;6196
RS;203;6161
RS;204;6204
RS;205;6154
RS;206;5997
RS;207;5957
RS;208;6044
RS;209;5898
RS;210;5778
RS;211;5707
RS;212;5790
RS;213;5660
RS;214;5671
RS;215;5651
RS;216;5590
RS;217;5360
RS;218;5383
RS;219;5511
RS;220;5355
RS;221;5256
RS;222;5173
RS;223;5198
RS;224;5319
RS;225;5127
RS;226;5095
RS;227;5100
RS;228;4985
RS;229;4974
RS;230;4916
RS;231;4884
RS;232;4986
RS;233;4850
RS;234;4761
RS;235;4720
RS;236;4762
RS;237;4593
RS;238;4657
RS;239;4568
RS;240;4577
RS;241;4692
RS;242;4587
RS;243;4517
RS;244;4350
RS;245;4460
RS;246;4308
RS;247;4378
RS;248;4282
RS;249;4174
RS;250;4250
RS;251;4316
RS;252;4271
RS;253;4187
RS;254;4190
RS;255;4155
RS;256;4072
RS;257;3960
RS;258;4109
RS;259;3992
RS;260;4011
RS;261;3991
RS;262;3941
RS;263;3898
RS;264;3711
RS;265;3904
RS;266;3889
RS;267;3804
RS;268;3647
RS;269;3657
RS;270;3654
RS;271;3692
RS;272;3685
RS;273;3583
RS;274;3621
RS;275;3552
RS;276;3539
RS;277;3524
RS;278;3483
RS;279;3562
RS;280;3532
RS;281;3445
RS;282;3478
RS;283;3360
RS;284;3395
RS;285;3364
RS;286;3367
RS;287;3307
RS;288;3372
RS;289;3280
RS;290;3187
RS;291;3248
RS;292;3255
RS;293;3058
RS;294;3102
RS;295;3101
RS;296;3232
RS;297;3103
RS;298;3060
RS;299;3178
RS;300;3076
RS;301;3004
RS;302;2934
RS;303;2981
RS;304;3022
RS;305;3035
RS;306;2923
RS;307;2857
RS;308;3065
RS;309;2806
RS;310;2897
RS;311;2847
RS;312;2762
RS;313;2796
RS;314;2776
RS;315;2724
RS;316;2697
RS;317;2642
RS;318;2658
RS;319;2643
RS;320;2750
RS;321;2715
RS;322;2648
RS;323;2560
RS;324;2537
RS;325;2537
RS;326;2594
RS;327;2486
RS;328;2583
RS;329;2489
RS;330;2517
RS;331;2500
RS;332;2516
RS;333;2383
RS;334;2443
RS;335;2387
RS;336;2446
RS;337;2384
RS;338;2342
RS;339;2387
RS;340;2417
RS;341;2331
RS;342;2366
RS;343;2303
RS;344;2268
RS;345;2272
RS;346;2302
RS;347;2392
RS;348;2205
RS;349;2249
RS;350;2249
RS;351;2240
RS;352;2221
RS;353;2141
RS;354;2123
RS;355;2165
RS;356;2043
RS;357;2093
RS;358;2069
RS;359;2100
RS;360;2082
RS;361;2067
RS;362;1998
RS;363;2063
RS;364;2010
RS;365;2045
RS;366;2002
RS;367;2048
RS;368;2064
RS;369;1997
RS;370;1963
RS;371;1946
RS;372;2014
RS;373;1923
RS;374;1946
RS;375;1912
RS;376;1871
RS;377;1873
RS;378;1829
RS;379;1944
RS;380;1821
RS;381;1857
RS;382;1903
RS;383;1811
RS;384;1823
RS;385;1839
RS;386;1843
RS;387;1816
RS;388;1744
RS;389;1708
RS;390;1803
RS;391;1768
RS;392;1694
RS;393;1759
