uf;segundos_depois;frequencia
SE;-1;5556
SE;2;1
SE;7;2
SE;9;1
SE;11;1
SE;12;2
SE;13;1
SE;15;2
SE;18;1
SE;19;1
SE;20;3
SE;22;6
SE;23;16
SE;24;39
SE;25;76
SE;26;172
SE;27;346
SE;28;681
SE;29;1150
SE;30;1844
SE;31;2787
SE;32;4032
SE;33;5261
SE;34;6865
SE;35;8365
SE;36;10141
SE;37;11276
SE;38;13049
SE;39;14177
SE;40;15261
SE;41;16118
SE;42;17095
SE;43;17735
SE;44;18113
SE;45;18632
SE;46;18827
SE;47;18953
SE;48;18790
SE;49;18864
SE;50;18859
SE;51;18566
SE;52;18519
SE;53;18100
SE;54;17825
SE;55;17726
SE;56;17423
SE;57;16687
SE;58;16793
SE;59;16264
SE;60;15938
SE;61;15397
SE;62;14918
SE;63;14539
SE;64;14406
SE;65;13761
SE;66;13625
SE;67;13211
SE;68;12930
SE;69;12686
SE;70;12500
SE;71;11938
SE;72;11590
SE;73;11334
SE;74;10984
SE;75;10799
SE;76;10484
SE;77;10271
SE;78;10129
SE;79;9775
SE;80;9625
SE;81;9373
SE;82;9346
SE;83;8897
SE;84;8881
SE;85;8650
SE;86;8289
SE;87;8238
SE;88;8061
SE;89;7675
SE;90;7780
SE;91;7566
SE;92;7511
SE;93;7334
SE;94;7090
SE;95;7083
SE;96;6805
SE;97;6722
SE;98;6462
SE;99;6341
SE;100;6280
SE;101;6153
SE;102;6062
SE;103;5870
SE;104;5709
SE;105;5704
SE;106;5534
SE;107;5488
SE;108;5345
SE;109;5039
SE;110;5228
SE;111;5122
SE;112;4903
SE;113;4878
SE;114;4776
SE;115;4661
SE;116;4645
SE;117;4535
SE;118;4377
SE;119;4308
SE;120;4251
SE;121;4146
SE;122;3976
SE;123;3969
SE;124;3830
SE;125;3798
SE;126;3662
SE;127;3757
SE;128;3737
SE;129;3572
SE;130;3557
SE;131;3473
SE;132;3391
SE;133;3372
SE;134;3353
SE;135;3334
SE;136;3235
SE;137;3106
SE;138;3042
SE;139;3028
SE;140;3015
SE;141;2948
SE;142;2884
SE;143;2802
SE;144;2802
SE;145;2703
SE;146;2683
SE;147;2641
SE;148;2688
SE;149;2575
SE;150;2477
SE;151;2513
SE;152;2444
SE;153;2553
SE;154;2336
SE;155;2334
SE;156;2254
SE;157;2210
SE;158;2175
SE;159;2221
SE;160;2125
SE;161;2223
SE;162;2108
SE;163;2130
SE;164;2073
SE;165;2027
SE;166;1980
SE;167;1916
SE;168;2036
SE;169;1951
SE;170;1863
SE;171;1939
SE;172;1805
SE;173;1868
SE;174;1801
SE;175;1755
SE;176;1831
SE;177;1728
SE;178;1685
SE;179;1758
SE;180;1694
SE;181;1690
SE;182;1689
SE;183;1702
SE;184;1684
SE;185;1609
SE;186;1577
SE;187;1588
SE;188;1524
SE;189;1551
SE;190;1525
SE;191;1483
SE;192;1436
SE;193;1508
SE;194;1451
SE;195;1481
SE;196;1451
SE;197;1454
SE;198;1395
SE;199;1425
SE;200;1342
SE;201;1364
SE;202;1318
SE;203;1376
SE;204;1320
SE;205;1253
SE;206;1260
SE;207;1360
SE;208;1181
SE;209;1264
SE;210;1290
SE;211;1262
SE;212;1132
SE;213;1270
SE;214;1194
SE;215;1248
SE;216;1172
SE;217;1096
SE;218;1199
SE;219;1131
SE;220;1076
SE;221;1136
SE;222;1153
SE;223;1201
SE;224;1127
SE;225;1159
SE;226;1073
SE;227;1041
SE;228;1086
SE;229;1078
SE;230;1012
SE;231;1030
SE;232;1052
SE;233;1007
SE;234;999
SE;235;1005
SE;236;1012
SE;237;967
SE;238;1016
SE;239;981
SE;240;983
SE;241;887
SE;242;1028
SE;243;950
SE;244;925
SE;245;936
SE;246;942
SE;247;910
SE;248;966
SE;249;913
SE;250;958
SE;251;913
SE;252;870
SE;253;904
SE;254;900
SE;255;835
SE;256;852
SE;257;906
SE;258;897
SE;259;821
SE;260;796
SE;261;814
SE;262;829
SE;263;791
SE;264;883
SE;265;810
SE;266;829
SE;267;774
SE;268;791
SE;269;798
SE;270;783
SE;271;769
SE;272;757
SE;273;766
SE;274;774
SE;275;784
SE;276;746
SE;277;725
SE;278;719
SE;279;755
SE;280;735
SE;281;661
SE;282;702
SE;283;687
SE;284;744
SE;285;731
SE;286;703
SE;287;672
SE;288;681
SE;289;671
SE;290;698
SE;291;696
SE;292;701
SE;293;622
SE;294;689
SE;295;693
SE;296;662
SE;297;663
SE;298;741
SE;299;622
SE;300;687
SE;301;655
SE;302;655
SE;303;633
SE;304;636
SE;305;657
SE;306;605
SE;307;606
SE;308;578
SE;309;600
SE;310;585
SE;311;579
SE;312;604
SE;313;604
SE;314;597
SE;315;574
SE;316;605
SE;317;548
SE;318;554
SE;319;577
SE;320;553
SE;321;540
SE;322;580
SE;323;591
SE;324;585
SE;325;555
SE;326;540
SE;327;563
SE;328;567
SE;329;574
SE;330;537
SE;331;494
SE;332;511
SE;333;521
SE;334;513
SE;335;478
SE;336;516
SE;337;487
SE;338;498
SE;339;555
SE;340;493
SE;341;522
SE;342;496
SE;343;518
SE;344;487
SE;345;466
SE;346;481
SE;347;418
SE;348;525
SE;349;468
SE;350;414
SE;351;496
SE;352;523
SE;353;455
SE;354;446
SE;355;441
SE;356;471
SE;357;481
SE;358;436
SE;359;441
SE;360;450
SE;361;416
SE;362;461
SE;363;437
SE;364;444
SE;365;446
SE;366;449
SE;367;393
SE;368;449
SE;369;401
SE;370;399
SE;371;445
SE;372;393
SE;373;451
SE;374;405
SE;375;421
SE;376;371
SE;377;399
SE;378;432
SE;379;377
SE;380;416
SE;381;376
SE;382;408
SE;383;372
SE;384;443
SE;385;377
SE;386;373
SE;387;381
SE;388;392
SE;389;379
SE;390;382
SE;391;391
SE;392;343
SE;393;366
SE;394;378
SE;395;335
SE;396;350
SE;397;390
SE;398;358
SE;399;318
SE;400;352
SE;401;345
SE;402;337
SE;403;356
SE;404;348
SE;405;339
SE;406;305
SE;407;295
SE;408;347
SE;409;330
SE;410;314
SE;411;319
SE;412;319
SE;413;326
SE;414;334
SE;415;301
SE;416;306
SE;417;324
SE;418;280
SE;419;316
SE;420;310
SE;421;328
SE;422;302
SE;423;300
SE;424;357
SE;425;325
SE;426;319
SE;427;291
SE;428;275
SE;429;276
SE;430;306
SE;431;312
SE;432;258
SE;433;299
SE;434;267
SE;435;313
SE;436;273
SE;437;282
SE;438;299
SE;439;273
SE;440;249
SE;441;311
SE;442;247
SE;443;262
SE;444;262
SE;445;312
SE;446;285
SE;447;282
SE;448;271
SE;449;288
SE;450;271
SE;451;276
SE;452;245
SE;453;248
SE;454;310
SE;455;237
SE;456;245
SE;457;250
SE;458;245
SE;459;253
SE;460;262
SE;461;260
SE;462;240
SE;463;247
SE;464;264
SE;465;238
SE;466;257
SE;467;236
SE;468;224
SE;469;235
SE;470;236
SE;471;229
SE;472;230
SE;473;217
SE;474;238
SE;475;224
SE;476;203
SE;477;234
SE;478;221
SE;479;232
SE;480;241
SE;481;207
SE;482;248
SE;483;246
SE;484;210
SE;485;223
SE;486;210
SE;487;206
SE;488;182
SE;489;196
SE;490;201
SE;491;210
SE;492;218
SE;493;216
SE;494;227
SE;495;219
SE;496;223
SE;497;214
SE;498;186
SE;499;211
SE;500;217
SE;501;198
SE;502;200
SE;503;196
SE;504;175
SE;505;217
SE;506;205
SE;507;194
SE;508;217
SE;509;196
SE;510;182
SE;511;173
SE;512;213
SE;513;210
SE;514;168
SE;515;165
SE;516;170
SE;517;184
SE;518;180
SE;519;176
SE;520;190
SE;521;169
SE;522;171
SE;523;178
SE;524;156
SE;525;150
SE;526;170
SE;527;165
SE;528;161
SE;529;159
SE;530;166
SE;531;149
SE;532;178
SE;533;151
SE;534;152
SE;535;152
SE;536;149
SE;537;146
SE;538;147
SE;539;161
SE;540;155
SE;541;171
SE;542;159
SE;543;154
SE;544;144
SE;545;153
SE;546;165
SE;547;150
SE;548;161
SE;549;159
SE;550;141
SE;551;147
SE;552;151
SE;553;146
SE;554;151
SE;555;148
SE;556;145
SE;557;146
SE;558;155
SE;559;170
SE;560;144
SE;561;145
SE;562;144
SE;563;122
SE;564;153
SE;565;128
SE;566;151
SE;567;115
SE;568;122
SE;569;121
SE;570;125
SE;571;125
SE;572;132
SE;573;138
SE;574;131
SE;575;128
SE;576;141
SE;577;130
SE;578;141
SE;579;122
SE;580;134
SE;581;138
SE;582;122
SE;583;116
SE;584;115
SE;585;130
SE;586;125
SE;587;117
SE;588;129
SE;589;152
SE;590;117
SE;591;132
SE;592;116
SE;593;126
SE;594;115
SE;595;146
SE;596;110
SE;597;132
SE;598;123
SE;599;120
SE;600;133
SE;601;109
SE;602;127
SE;603;115
SE;604;109
SE;605;119
SE;606;95
SE;607;124
SE;608;119
SE;609;122
