uf;segundos_depois;frequencia
SP;-1;101807
SP;0;358
SP;1;112
SP;2;114
SP;3;105
SP;4;95
SP;5;102
SP;6;113
SP;7;104
SP;8;115
SP;9;119
SP;10;103
SP;11;117
SP;12;115
SP;13;88
SP;14;118
SP;15;106
SP;16;111
SP;17;126
SP;18;135
SP;19;122
SP;20;178
SP;21;313
SP;22;627
SP;23;1387
SP;24;2733
SP;25;5188
SP;26;8817
SP;27;14713
SP;28;22774
SP;29;34625
SP;30;50329
SP;31;70655
SP;32;96512
SP;33;126749
SP;34;161696
SP;35;199584
SP;36;238713
SP;37;277216
SP;38;313978
SP;39;346576
SP;40;376610
SP;41;399054
SP;42;422677
SP;43;435726
SP;44;443140
SP;45;449711
SP;46;450584
SP;47;448710
SP;48;444121
SP;49;437834
SP;50;429816
SP;51;422297
SP;52;412505
SP;53;402938
SP;54;391324
SP;55;380467
SP;56;370357
SP;57;359526
SP;58;349847
SP;59;338973
SP;60;328929
SP;61;318376
SP;62;308196
SP;63;298943
SP;64;290849
SP;65;281149
SP;66;272102
SP;67;264656
SP;68;255844
SP;69;248199
SP;70;240820
SP;71;234395
SP;72;227457
SP;73;220798
SP;74;213492
SP;75;208165
SP;76;201612
SP;77;196267
SP;78;191419
SP;79;187294
SP;80;181327
SP;81;177095
SP;82;172943
SP;83;168062
SP;84;164344
SP;85;160384
SP;86;155941
SP;87;152893
SP;88;148892
SP;89;145774
SP;90;141463
SP;91;139320
SP;92;136339
SP;93;132940
SP;94;130095
SP;95;127170
SP;96;124378
SP;97;121520
SP;98;119080
SP;99;116719
SP;100;113660
SP;101;111078
SP;102;108990
SP;103;107049
SP;104;104977
SP;105;102288
SP;106;101134
SP;107;98321
SP;108;96268
SP;109;94077
SP;110;92337
SP;111;91084
SP;112;88506
SP;113;86699
SP;114;85393
SP;115;83880
SP;116;81797
SP;117;80666
SP;118;79123
SP;119;77773
SP;120;75845
SP;121;74043
SP;122;72843
SP;123;71796
SP;124;70230
SP;125;69140
SP;126;67836
SP;127;67413
SP;128;65526
SP;129;64573
SP;130;63521
SP;131;62655
SP;132;61748
SP;133;60931
SP;134;59285
SP;135;58355
SP;136;57263
SP;137;56290
SP;138;55693
SP;139;55040
SP;140;54348
SP;141;53566
SP;142;53148
SP;143;51711
SP;144;50919
SP;145;49942
SP;146;49489
SP;147;48991
SP;148;47964
SP;149;47183
SP;150;46746
SP;151;45796
SP;152;45384
SP;153;44949
SP;154;44803
SP;155;43754
SP;156;43102
SP;157;42679
SP;158;41931
SP;159;41227
SP;160;41141
SP;161;40323
SP;162;39977
SP;163;39293
SP;164;38911
SP;165;38437
SP;166;37848
SP;167;37351
SP;168;37325
SP;169;36587
SP;170;36245
SP;171;35574
SP;172;35396
SP;173;35090
SP;174;34594
SP;175;34280
SP;176;33554
SP;177;33654
SP;178;32895
SP;179;32920
SP;180;32402
SP;181;32401
SP;182;31428
SP;183;31480
SP;184;31278
SP;185;30457
SP;186;30660
SP;187;30219
SP;188;30021
SP;189;29734
SP;190;29339
SP;191;29245
SP;192;28547
SP;193;28257
SP;194;28094
SP;195;27944
SP;196;27546
SP;197;27432
SP;198;26886
SP;199;26723
SP;200;26471
SP;201;26458
SP;202;26321
SP;203;26197
SP;204;25634
SP;205;25204
SP;206;25296
SP;207;25012
SP;208;24916
SP;209;24666
SP;210;24388
SP;211;24236
SP;212;23821
SP;213;23913
SP;214;23333
SP;215;23713
SP;216;23389
SP;217;22718
SP;218;22776
SP;219;22713
SP;220;22396
SP;221;22203
SP;222;22090
SP;223;21712
SP;224;21850
SP;225;21553
SP;226;21139
SP;227;21196
SP;228;20773
SP;229;20798
SP;230;20522
SP;231;20402
SP;232;20455
SP;233;19951
SP;234;20175
SP;235;19968
SP;236;19516
SP;237;19004
SP;238;19194
SP;239;19113
SP;240;19049
SP;241;19031
SP;242;18798
SP;243;18621
SP;244;18432
SP;245;18367
SP;246;18222
SP;247;17789
SP;248;17902
SP;249;17858
SP;250;17666
SP;251;17518
SP;252;17225
SP;253;17370
SP;254;17012
SP;255;17227
SP;256;16840
SP;257;16255
SP;258;16773
SP;259;16388
SP;260;16332
SP;261;15896
SP;262;15901
SP;263;15924
SP;264;15565
SP;265;15806
SP;266;15601
SP;267;15652
SP;268;15455
SP;269;15484
SP;270;15221
SP;271;14794
SP;272;14910
SP;273;14727
SP;274;14736
SP;275;14634
SP;276;14365
SP;277;14435
SP;278;14255
SP;279;14217
SP;280;14098
SP;281;14096
SP;282;13890
SP;283;13957
SP;284;13562
SP;285;13543
SP;286;13390
SP;287;13327
SP;288;13305
SP;289;13389
SP;290;13019
SP;291;13057
SP;292;13077
SP;293;12767
SP;294;12959
SP;295;12697
SP;296;12794
SP;297;12526
SP;298;12355
SP;299;12469
SP;300;12126
SP;301;12033
SP;302;11985
SP;303;11863
SP;304;11937
SP;305;11693
SP;306;11681
SP;307;11598
SP;308;11401
SP;309;11474
SP;310;11461
SP;311;11213
SP;312;11243
SP;313;11066
SP;314;10947
SP;315;11150
SP;316;10945
SP;317;11115
SP;318;10612
SP;319;10841
SP;320;10681
SP;321;10496
SP;322;10533
SP;323;10449
SP;324;10318
SP;325;10280
SP;326;10308
SP;327;10220
SP;328;9989
SP;329;9941
SP;330;10074
SP;331;9793
SP;332;9798
SP;333;9742
SP;334;9568
SP;335;9592
SP;336;9437
SP;337;9452
SP;338;9422
SP;339;9597
SP;340;9239
SP;341;9346
SP;342;9155
SP;343;8964
SP;344;9151
SP;345;8872
SP;346;8936
SP;347;9062
SP;348;8914
SP;349;8596
SP;350;8562
SP;351;8514
SP;352;8617
SP;353;8557
SP;354;8430
SP;355;8255
SP;356;8484
SP;357;8323
SP;358;8251
SP;359;8393
SP;360;8083
SP;361;8130
SP;362;8239
SP;363;7865
SP;364;7829
SP;365;7846
SP;366;7919
SP;367;7710
SP;368;7762
SP;369;7608
SP;370;7470
SP;371;7476
SP;372;7447
SP;373;7512
SP;374;7482
SP;375;7328
SP;376;7253
SP;377;7282
SP;378;7114
SP;379;7245
SP;380;7121
SP;381;7007
SP;382;6965
SP;383;7100
SP;384;6865
SP;385;6835
SP;386;6897
SP;387;6763
SP;388;6791
SP;389;6616
SP;390;6679
SP;391;6498
SP;392;6593
SP;393;6471
SP;394;6499
SP;395;6336
SP;396;6535
SP;397;6423
SP;398;6298
SP;399;6361
SP;400;6192
SP;401;6127
SP;402;6044
SP;403;6192
SP;404;5959
SP;405;6088
SP;406;5996
SP;407;5899
SP;408;5867
SP;409;5792
SP;410;5858
SP;411;5827
SP;412;5812
SP;413;5628
SP;414;5777
SP;415;5692
SP;416;5555
SP;417;5595
SP;418;5565
SP;419;5530
SP;420;5493
SP;421;5431
SP;422;5380
SP;423;5329
SP;424;5324
SP;425;5333
SP;426;5385
SP;427;5308
SP;428;5147
SP;429;5237
SP;430;5163
SP;431;5176
SP;432;5097
SP;433;5020
SP;434;4965
SP;435;5048
SP;436;4972
SP;437;4925
SP;438;4802
SP;439;4839
SP;440;4785
SP;441;4808
SP;442;4821
SP;443;4756
SP;444;4634
SP;445;4721
SP;446;4770
SP;447;4553
SP;448;4543
SP;449;4597
SP;450;4554
SP;451;4455
SP;452;4552
SP;453;4538
SP;454;4449
SP;455;4351
SP;456;4273
SP;457;4358
SP;458;4370
SP;459;4411
SP;460;4276
SP;461;4287
SP;462;4268
SP;463;4136
SP;464;4141
SP;465;4156
SP;466;4016
SP;467;4128
SP;468;4115
SP;469;3992
SP;470;3876
SP;471;3945
SP;472;3932
SP;473;3944
SP;474;3950
SP;475;3874
SP;476;3885
SP;477;3883
SP;478;3771
SP;479;3777
SP;480;3779
SP;481;3643
SP;482;3738
SP;483;3722
SP;484;3668
SP;485;3623
SP;486;3682
SP;487;3632
SP;488;3626
SP;489;3566
SP;490;3486
SP;491;3501
SP;492;3450
SP;493;3505
SP;494;3474
SP;495;3394
SP;496;3470
SP;497;3499
SP;498;3319
SP;499;3519
SP;500;3279
SP;501;3282
SP;502;3309
SP;503;3240
SP;504;3302
SP;505;3217
SP;506;3154
SP;507;3331
SP;508;3184
SP;509;3133
SP;510;3198
SP;511;3094
SP;512;3084
SP;513;3109
SP;514;3078
SP;515;2962
SP;516;3060
SP;517;3052
SP;518;2971
SP;519;3017
SP;520;2960
SP;521;2872
SP;522;2906
SP;523;2922
SP;524;2897
SP;525;3040
SP;526;2871
SP;527;2854
SP;528;2789
SP;529;2835
SP;530;2778
SP;531;2720
SP;532;2713
SP;533;2628
SP;534;2707
SP;535;2734
SP;536;2811
SP;537;2739
SP;538;2584
SP;539;2620
SP;540;2679
SP;541;2655
SP;542;2611
SP;543;2670
SP;544;2524
SP;545;2497
SP;546;2577
SP;547;2632
SP;548;2458
SP;549;2449
SP;550;2498
SP;551;2445
SP;552;2421
SP;553;2499
SP;554;2423
SP;555;2377
SP;556;2375
SP;557;2376
SP;558;2256
SP;559;2286
SP;560;2295
SP;561;2282
SP;562;2336
SP;563;2362
SP;564;2338
SP;565;2245
SP;566;2246
SP;567;2158
SP;568;2209
SP;569;2282
SP;570;2188
SP;571;2161
SP;572;2163
SP;573;2132
SP;574;2161
SP;575;2091
SP;576;2093
SP;577;2069
SP;578;2129
SP;579;2062
SP;580;2018
SP;581;2088
SP;582;2024
SP;583;2000
SP;584;2029
SP;585;2064
SP;586;1921
SP;587;1968
SP;588;1949
SP;589;1989
SP;590;1968
SP;591;1883
SP;592;1896
SP;593;1861
SP;594;1894
SP;595;1902
SP;596;1841
SP;597;1928
SP;598;1909
SP;599;1958
SP;600;1809
SP;601;1807
SP;602;1811
SP;603;1806
SP;604;1800
SP;605;1787
SP;606;1730
SP;607;1673
SP;608;1764
SP;609;1781
SP;610;1715
SP;611;1757
SP;612;1732
SP;613;1734
SP;614;1727
SP;615;1712
SP;616;1612
SP;617;1661
SP;618;1635
SP;619;1648
SP;620;1723
SP;621;1633
SP;622;1681
SP;623;1624
SP;624;1627
SP;625;1628
SP;626;1616
SP;627;1558
SP;628;1593
SP;629;1513
SP;630;1650
SP;631;1500
SP;632;1555
SP;633;1574
SP;634;1567
SP;635;1525
SP;636;1529
SP;637;1487
SP;638;1505
SP;639;1403
SP;640;1450
SP;641;1489
SP;642;1482
SP;643;1408
SP;644;1474
SP;645;1425
SP;646;1402
SP;647;1349
SP;648;1403
SP;649;1335
SP;650;1412
SP;651;1400
SP;652;1354
SP;653;1408
SP;654;1387
SP;655;1336
SP;656;1333
SP;657;1391
SP;658;1336
SP;659;1360
SP;660;1319
SP;661;1299
SP;662;1338
SP;663;1309
SP;664;1300
SP;665;1245
SP;666;1223
SP;667;1256
SP;668;1249
SP;669;1270
SP;670;1279
SP;671;1278
SP;672;1247
SP;673;1183
SP;674;1215
SP;675;1182
SP;676;1259
SP;677;1192
SP;678;1152
SP;679;1209
SP;680;1161
SP;681;1221
SP;682;1207
SP;683;1113
SP;684;1137
SP;685;1132
SP;686;1164
SP;687;1109
SP;688;1128
SP;689;1199
SP;690;1102
SP;691;1102
SP;692;1122
SP;693;1061
SP;694;1062
SP;695;1121
SP;696;1132
SP;697;1099
SP;698;1040
SP;699;1089
SP;700;1028
SP;701;1030
SP;702;1021
SP;703;999
SP;704;992
SP;705;1034
SP;706;1076
SP;707;1015
SP;708;1025
SP;709;1066
SP;710;1022
SP;711;1003
SP;712;1052
SP;713;945
SP;714;962
SP;715;998
SP;716;967
SP;717;922
SP;718;987
SP;719;929
SP;720;967
SP;721;941
SP;722;906
SP;723;929
SP;724;916
SP;725;925
SP;726;908
SP;727;952
SP;728;962
SP;729;922
SP;730;874
SP;731;905
SP;732;897
SP;733;915
SP;734;911
SP;735;874
SP;736;882
SP;737;910
SP;738;827
SP;739;834
SP;740;858
SP;741;799
SP;742;813
SP;743;831
SP;744;857
SP;745;781
SP;746;813
SP;747;789
SP;748;820
SP;749;810
SP;750;860
SP;751;770
SP;752;760
SP;753;816
SP;754;789
SP;755;808
SP;756;761
SP;757;811
SP;758;760
SP;759;733
SP;760;738
SP;761;748
SP;762;778
SP;763;775
SP;764;801
SP;765;693
SP;766;728
SP;767;765
SP;768;734
SP;769;747
SP;770;690
SP;771;688
SP;772;666
SP;773;691
SP;774;714
SP;775;694
SP;776;731
SP;777;683
SP;778;763
SP;779;704
SP;780;685
SP;781;716
SP;782;657
SP;783;681
SP;784;670
SP;785;701
SP;786;706
SP;787;666
SP;788;646
SP;789;634
SP;790;714
SP;791;609
SP;792;677
SP;793;647
SP;794;638
SP;795;645
SP;796;599
SP;797;671
SP;798;637
SP;799;654
SP;800;611
SP;801;655
SP;802;611
SP;803;617
SP;804;605
SP;805;618
SP;806;650
SP;807;580
SP;808;609
SP;809;557
SP;810;623
SP;811;552
SP;812;587
SP;813;607
SP;814;631
SP;815;555
SP;816;550
SP;817;518
SP;818;590
SP;819;539
SP;820;528
SP;821;534
SP;822;563
SP;823;543
SP;824;584
SP;825;526
SP;826;553
SP;827;564
SP;828;558
SP;829;548
SP;830;581
SP;831;521
SP;832;553
SP;833;528
SP;834;539
SP;835;513
SP;836;542
SP;837;513
SP;838;492
SP;839;505
SP;840;512
SP;841;525
SP;842;495
SP;843;500
SP;844;482
SP;845;472
SP;846;500
SP;847;492
SP;848;480
SP;849;512
SP;850;521
SP;851;473
SP;852;532
SP;853;463
SP;854;423
SP;855;473
SP;856;488
SP;857;457
SP;858;472
SP;859;499
SP;860;478
SP;861;454
SP;862;442
SP;863;464
SP;864;455
SP;865;430
SP;866;436
SP;867;470
SP;868;411
SP;869;427
SP;870;415
SP;871;455
SP;872;375
SP;873;428
SP;874;446
SP;875;450
SP;876;431
SP;877;408
SP;878;404
SP;879;423
SP;880;399
SP;881;449
SP;882;419
SP;883;407
SP;884;396
SP;885;401
SP;886;439
SP;887;425
SP;888;438
SP;889;392
SP;890;380
SP;891;381
SP;892;362
SP;893;376
SP;894;370
SP;895;377
SP;896;377
SP;897;359
SP;898;371
SP;899;352
SP;900;370
SP;901;367
SP;902;332
SP;903;369
SP;904;366
SP;905;373
SP;906;362
SP;907;367
SP;908;388
SP;909;336
SP;910;329
SP;911;372
SP;912;349
SP;913;381
SP;914;329
SP;915;320
SP;916;350
SP;917;336
SP;918;359
SP;919;344
SP;920;352
SP;921;330
SP;922;315
SP;923;318
SP;924;339
SP;925;332
SP;926;336
SP;927;328
SP;928;306
SP;929;326
SP;930;362
SP;931;322
SP;932;353
SP;933;334
SP;934;314
SP;935;317
SP;936;312
SP;937;306
SP;938;317
SP;939;284
SP;940;307
SP;941;319
SP;942;302
SP;943;280
SP;944;329
SP;945;290
SP;946;332
SP;947;293
SP;948;296
SP;949;295
SP;950;308
SP;951;308
SP;952;274
SP;953;271
SP;954;283
SP;955;287
SP;956;260
SP;957;293
SP;958;266
SP;959;253
SP;960;253
SP;961;293
SP;962;262
SP;963;284
SP;964;278
SP;965;237
SP;966;285
SP;967;267
SP;968;258
SP;969;282
SP;970;273
SP;971;252
SP;972;246
SP;973;234
SP;974;238
SP;975;254
SP;976;251
SP;977;267
SP;978;242
SP;979;262
SP;980;237
SP;981;302
SP;982;240
SP;983;271
SP;984;232
SP;985;257
SP;986;259
SP;987;243
SP;988;283
SP;989;239
SP;990;241
SP;991;229
SP;992;257
SP;993;225
SP;994;232
SP;995;236
SP;996;253
SP;997;234
SP;998;242
SP;999;229
SP;1000;211
SP;1001;222
SP;1002;220
SP;1003;211
SP;1004;233
SP;1005;203
SP;1006;200
SP;1007;206
SP;1008;213
SP;1009;206
SP;1010;216
SP;1011;228
SP;1012;233
SP;1013;214
SP;1014;238
SP;1015;195
SP;1016;230
SP;1017;219
SP;1018;211
SP;1019;205
SP;1020;196
SP;1021;192
SP;1022;192
SP;1023;219
SP;1024;182
SP;1025;199
SP;1026;195
SP;1027;214
SP;1028;215
SP;1029;216
SP;1030;196
SP;1031;208
SP;1032;199
SP;1033;200
SP;1034;199
SP;1035;186
SP;1036;192
SP;1037;198
SP;1038;197
SP;1039;184
SP;1040;182
SP;1041;190
SP;1042;163
SP;1043;194
SP;1044;176
SP;1045;188
SP;1046;175
SP;1047;183
SP;1048;171
SP;1049;168
SP;1050;175
SP;1051;180
SP;1052;185
SP;1053;181
SP;1054;176
SP;1055;201
SP;1056;189
SP;1057;177
SP;1058;169
SP;1059;151
SP;1060;173
SP;1061;172
SP;1062;187
SP;1063;146
SP;1064;157
SP;1065;159
SP;1066;167
SP;1067;179
SP;1068;149
SP;1069;151
SP;1070;171
SP;1071;171
SP;1072;136
SP;1073;158
SP;1074;158
SP;1075;156
SP;1076;152
SP;1077;130
SP;1078;144
SP;1079;151
SP;1080;157
SP;1081;161
SP;1082;143
SP;1083;142
SP;1084;146
SP;1085;159
SP;1086;142
SP;1087;157
SP;1088;159
SP;1089;154
SP;1090;158
SP;1091;142
SP;1092;162
SP;1093;143
SP;1094;158
SP;1095;157
SP;1096;143
SP;1097;139
SP;1098;136
SP;1099;118
SP;1100;140
SP;1101;152
SP;1102;147
SP;1103;117
SP;1104;135
SP;1105;137
SP;1106;143
SP;1107;137
SP;1108;151
SP;1109;133
SP;1110;135
SP;1111;122
SP;1112;143
SP;1113;146
SP;1114;124
SP;1115;154
SP;1116;137
SP;1117;113
SP;1118;122
SP;1119;129
SP;1120;159
SP;1121;114
SP;1122;122
SP;1123;123
SP;1124;136
SP;1125;142
SP;1126;134
SP;1127;125
SP;1128;138
SP;1129;126
SP;1130;114
SP;1131;125
SP;1132;106
SP;1133;114
SP;1134;125
SP;1135;112
SP;1136;132
SP;1137;118
SP;1138;129
SP;1139;118
SP;1140;121
SP;1141;115
SP;1142;106
SP;1143;113
SP;1144;142
SP;1145;106
SP;1146;120
SP;1147;111
SP;1148;111
SP;1149;111
SP;1150;120
SP;1151;134
SP;1152;129
SP;1153;130
SP;1154;112
SP;1155;120
SP;1156;118
SP;1157;99
SP;1158;92
SP;1159;94
SP;1160;111
SP;1161;114
SP;1162;100
SP;1163;109
SP;1164;107
SP;1165;112
SP;1166;104
SP;1167;117
SP;1168;104
SP;1169;106
SP;1170;112
SP;1171;101
SP;1172;90
SP;1173;120
SP;1174;99
SP;1175;99
SP;1176;97
SP;1177;99
SP;1178;103
SP;1179;111
SP;1180;123
SP;1181;99
SP;1182;118
SP;1183;118
SP;1184;105
SP;1185;108
SP;1186;85
SP;1187;105
SP;1188;110
SP;1189;93
SP;1190;88
SP;1191;99
SP;1192;89
SP;1193;103
SP;1194;108
SP;1195;86
SP;1196;102
SP;1197;85
SP;1198;100
SP;1199;96
SP;1200;85
SP;1201;87
SP;1202;93
SP;1203;91
SP;1204;92
SP;1205;92
SP;1206;91
SP;1207;81
SP;1208;103
SP;1209;104
SP;1210;82
SP;1211;92
SP;1212;96
SP;1213;79
SP;1214;95
SP;1215;94
SP;1216;85
SP;1217;88
SP;1218;80
SP;1219;86
SP;1220;90
SP;1221;91
SP;1222;78
SP;1223;87
SP;1224;64
SP;1225;73
SP;1226;81
SP;1227;71
SP;1228;87
SP;1229;90
SP;1230;84
SP;1231;80
SP;1232;72
SP;1233;80
SP;1234;70
SP;1235;85
SP;1236;67
SP;1237;70
SP;1238;62
SP;1239;81
SP;1240;86
SP;1241;94
SP;1242;98
SP;1243;77
SP;1244;63
SP;1245;64
SP;1246;67
SP;1247;80
SP;1248;72
SP;1249;64
SP;1250;74
SP;1251;88
SP;1252;76
SP;1253;80
SP;1254;64
SP;1255;77
SP;1256;77
SP;1257;60
SP;1258;54
SP;1259;55
SP;1260;71
SP;1261;79
SP;1262;75
SP;1263;72
SP;1264;75
SP;1265;64
SP;1266;56
SP;1267;76
SP;1268;59
SP;1269;74
SP;1270;57
SP;1271;69
SP;1272;50
SP;1273;64
SP;1274;55
SP;1275;77
SP;1276;57
SP;1277;62
SP;1278;79
SP;1279;54
SP;1280;55
SP;1281;62
SP;1282;47
SP;1283;64
SP;1284;53
SP;1285;73
SP;1286;58
SP;1287;75
SP;1288;65
SP;1289;63
SP;1290;69
SP;1291;68
SP;1292;68
SP;1293;67
SP;1294;42
SP;1295;58
SP;1296;60
SP;1297;58
SP;1298;59
SP;1299;70
SP;1300;58
SP;1301;55
SP;1302;41
SP;1303;64
SP;1304;45
SP;1305;60
SP;1306;49
SP;1307;55
SP;1308;46
SP;1309;56
SP;1310;64
SP;1311;48
SP;1312;49
SP;1313;46
SP;1314;55
SP;1315;62
SP;1316;57
SP;1317;53
SP;1318;48
SP;1319;55
SP;1320;49
SP;1321;57
SP;1322;43
SP;1323;52
SP;1324;66
SP;1325;43
SP;1326;45
SP;1327;68
SP;1328;38
SP;1329;54
SP;1330;42
SP;1331;51
SP;1332;43
SP;1333;56
SP;1334;63
SP;1335;46
SP;1336;65
SP;1337;53
SP;1338;52
SP;1339;61
SP;1340;65
SP;1341;54
SP;1342;46
SP;1343;51
SP;1344;45
SP;1345;45
SP;1346;45
SP;1347;48
SP;1348;37
SP;1349;39
SP;1350;56
SP;1351;46
SP;1352;41
SP;1353;39
SP;1354;42
SP;1355;47
SP;1356;43
SP;1357;46
SP;1358;45
SP;1359;49
SP;1360;40
SP;1361;44
SP;1362;41
SP;1363;38
SP;1364;36
SP;1365;43
SP;1366;37
SP;1367;47
SP;1368;38
SP;1369;39
SP;1370;55
SP;1371;43
SP;1372;34
SP;1373;49
SP;1374;42
SP;1375;32
SP;1376;36
SP;1377;46
SP;1378;45
SP;1379;49
SP;1380;41
SP;1381;43
SP;1382;41
SP;1383;42
SP;1384;45
SP;1385;39
SP;1386;40
SP;1387;32
SP;1388;35
SP;1389;39
SP;1390;37
SP;1391;40
SP;1392;31
SP;1393;60
SP;1394;42
SP;1395;29
SP;1396;42
SP;1397;45
SP;1398;38
SP;1399;39
SP;1400;57
SP;1401;37
SP;1402;44
SP;1403;45
SP;1404;39
SP;1405;32
SP;1406;24
SP;1407;42
SP;1408;34
SP;1409;29
SP;1410;44
SP;1411;42
SP;1412;33
SP;1413;23
SP;1414;39
SP;1415;33
SP;1416;28
SP;1417;32
SP;1418;38
SP;1419;42
SP;1420;32
SP;1421;38
SP;1422;36
SP;1423;42
SP;1424;34
SP;1425;33
SP;1426;32
SP;1427;40
SP;1428;38
SP;1429;53
SP;1430;35
SP;1431;27
SP;1432;33
SP;1433;30
SP;1434;44
SP;1435;38
SP;1436;28
SP;1437;37
SP;1438;37
SP;1439;44
SP;1440;32
SP;1441;34
SP;1442;30
SP;1443;35
SP;1444;38
SP;1445;30
SP;1446;27
SP;1447;26
SP;1448;42
SP;1449;39
SP;1450;33
SP;1451;19
SP;1452;21
SP;1453;26
SP;1454;27
SP;1455;31
SP;1456;22
SP;1457;34
SP;1458;37
SP;1459;24
SP;1460;37
SP;1461;35
SP;1462;38
SP;1463;29
SP;1464;31
SP;1465;25
SP;1466;27
SP;1467;37
SP;1468;36
SP;1469;33
SP;1470;33
SP;1471;31
SP;1472;32
SP;1473;20
SP;1474;32
SP;1475;27
SP;1476;36
SP;1477;24
SP;1478;32
SP;1479;22
SP;1480;26
SP;1481;31
SP;1482;31
SP;1483;41
