uf;segundos_depois;frequencia
TO;-1;3980
TO;18;1
TO;19;1
TO;20;4
TO;21;9
TO;22;25
TO;23;58
TO;24;130
TO;25;215
TO;26;405
TO;27;676
TO;28;1066
TO;29;1599
TO;30;2214
TO;31;2847
TO;32;3825
TO;33;4699
TO;34;5546
TO;35;6436
TO;36;7385
TO;37;7897
TO;38;8801
TO;39;9325
TO;40;9744
TO;41;10074
TO;42;10287
TO;43;10644
TO;44;10691
TO;45;10899
TO;46;11257
TO;47;11305
TO;48;10943
TO;49;11099
TO;50;10803
TO;51;10889
TO;52;10765
TO;53;10693
TO;54;10583
TO;55;10246
TO;56;10056
TO;57;9747
TO;58;9618
TO;59;9390
TO;60;9148
TO;61;9002
TO;62;8672
TO;63;8598
TO;64;8262
TO;65;8119
TO;66;7841
TO;67;7734
TO;68;7565
TO;69;7424
TO;70;7049
TO;71;6945
TO;72;6761
TO;73;6699
TO;74;6488
TO;75;6335
TO;76;6248
TO;77;6006
TO;78;5818
TO;79;5891
TO;80;5635
TO;81;5602
TO;82;5467
TO;83;5343
TO;84;5386
TO;85;4954
TO;86;4919
TO;87;4771
TO;88;4711
TO;89;4689
TO;90;4618
TO;91;4384
TO;92;4463
TO;93;4161
TO;94;4177
TO;95;4057
TO;96;3951
TO;97;3986
TO;98;3921
TO;99;3865
TO;100;3680
TO;101;3760
TO;102;3529
TO;103;3519
TO;104;3481
TO;105;3377
TO;106;3341
TO;107;3310
TO;108;3204
TO;109;3117
TO;110;3138
TO;111;3185
TO;112;2981
TO;113;2873
TO;114;2940
TO;115;2873
TO;116;2823
TO;117;2667
TO;118;2672
TO;119;2818
TO;120;2683
TO;121;2604
TO;122;2587
TO;123;2422
TO;124;2471
TO;125;2404
TO;126;2317
TO;127;2354
TO;128;2321
TO;129;2270
TO;130;2306
TO;131;2113
TO;132;2177
TO;133;2122
TO;134;2109
TO;135;2110
TO;136;2003
TO;137;1968
TO;138;1961
TO;139;1931
TO;140;1853
TO;141;1848
TO;142;1743
TO;143;1791
TO;144;1839
TO;145;1751
TO;146;1745
TO;147;1738
TO;148;1624
TO;149;1693
TO;150;1579
TO;151;1643
TO;152;1569
TO;153;1629
TO;154;1565
TO;155;1486
TO;156;1547
TO;157;1499
TO;158;1445
TO;159;1521
TO;160;1463
TO;161;1422
TO;162;1360
TO;163;1398
TO;164;1412
TO;165;1371
TO;166;1357
TO;167;1309
TO;168;1345
TO;169;1263
TO;170;1239
TO;171;1338
TO;172;1303
TO;173;1275
TO;174;1224
TO;175;1167
TO;176;1212
TO;177;1178
TO;178;1170
TO;179;1206
TO;180;1185
TO;181;1142
TO;182;1184
TO;183;1179
TO;184;1116
TO;185;1102
TO;186;1111
TO;187;1089
TO;188;1091
TO;189;1070
TO;190;1020
TO;191;1070
TO;192;1082
TO;193;965
TO;194;1042
TO;195;978
TO;196;993
TO;197;989
TO;198;966
TO;199;963
TO;200;978
TO;201;961
TO;202;948
TO;203;930
TO;204;911
TO;205;945
TO;206;886
TO;207;909
TO;208;947
TO;209;907
TO;210;926
TO;211;959
TO;212;878
TO;213;840
TO;214;816
TO;215;850
TO;216;855
TO;217;847
TO;218;824
TO;219;853
TO;220;791
TO;221;793
TO;222;795
TO;223;783
TO;224;834
TO;225;779
TO;226;772
TO;227;772
TO;228;784
TO;229;737
TO;230;770
TO;231;771
TO;232;750
TO;233;752
TO;234;741
TO;235;787
TO;236;751
TO;237;692
TO;238;687
TO;239;674
TO;240;700
TO;241;690
TO;242;692
TO;243;709
TO;244;693
TO;245;690
TO;246;708
TO;247;688
TO;248;683
TO;249;641
TO;250;682
TO;251;638
TO;252;634
TO;253;660
TO;254;655
TO;255;638
TO;256;603
TO;257;603
TO;258;626
TO;259;609
TO;260;608
TO;261;655
TO;262;606
TO;263;609
TO;264;611
TO;265;598
TO;266;586
TO;267;606
TO;268;655
TO;269;597
TO;270;577
TO;271;573
TO;272;615
TO;273;535
TO;274;568
TO;275;582
TO;276;543
TO;277;567
TO;278;570
TO;279;552
TO;280;573
TO;281;568
TO;282;549
TO;283;525
TO;284;548
TO;285;546
TO;286;516
TO;287;541
TO;288;567
TO;289;504
TO;290;521
TO;291;535
TO;292;516
TO;293;516
TO;294;465
TO;295;513
TO;296;465
TO;297;469
TO;298;501
TO;299;488
TO;300;465
TO;301;484
TO;302;511
TO;303;466
TO;304;449
TO;305;448
TO;306;454
TO;307;479
TO;308;410
TO;309;483
TO;310;462
TO;311;491
TO;312;407
TO;313;415
TO;314;437
TO;315;432
TO;316;487
TO;317;442
TO;318;416
TO;319;436
TO;320;435
TO;321;461
TO;322;425
TO;323;440
TO;324;445
TO;325;435
TO;326;445
TO;327;407
TO;328;416
TO;329;385
TO;330;419
TO;331;395
TO;332;398
TO;333;378
TO;334;378
TO;335;452
TO;336;394
TO;337;382
TO;338;423
TO;339;377
TO;340;387
TO;341;383
TO;342;377
TO;343;369
TO;344;414
TO;345;355
TO;346;360
TO;347;384
TO;348;409
TO;349;368
TO;350;371
TO;351;380
TO;352;357
TO;353;350
TO;354;353
TO;355;387
TO;356;366
TO;357;363
TO;358;368
TO;359;345
TO;360;345
TO;361;339
TO;362;380
TO;363;317
TO;364;349
TO;365;301
TO;366;347
TO;367;378
TO;368;330
TO;369;345
TO;370;347
TO;371;350
TO;372;312
TO;373;299
TO;374;334
TO;375;317
TO;376;307
TO;377;298
TO;378;282
TO;379;332
TO;380;295
TO;381;334
TO;382;298
TO;383;306
TO;384;313
TO;385;320
TO;386;339
TO;387;299
TO;388;292
TO;389;296
TO;390;331
TO;391;300
TO;392;280
TO;393;271
TO;394;296
TO;395;305
TO;396;309
TO;397;311
TO;398;276
TO;399;281
TO;400;271
TO;401;276
TO;402;282
TO;403;271
TO;404;292
TO;405;269
TO;406;276
TO;407;283
TO;408;273
TO;409;263
TO;410;259
TO;411;255
TO;412;272
TO;413;266
TO;414;262
TO;415;277
TO;416;267
TO;417;288
TO;418;235
TO;419;225
TO;420;237
TO;421;245
TO;422;228
TO;423;228
TO;424;255
TO;425;246
TO;426;241
TO;427;243
TO;428;204
TO;429;257
TO;430;241
TO;431;250
TO;432;243
TO;433;270
TO;434;226
TO;435;215
TO;436;217
TO;437;214
TO;438;212
TO;439;268
TO;440;230
TO;441;240
TO;442;242
TO;443;236
TO;444;199
TO;445;217
TO;446;243
TO;447;209
TO;448;257
TO;449;240
TO;450;215
TO;451;197
TO;452;221
TO;453;231
TO;454;213
TO;455;210
TO;456;220
TO;457;232
TO;458;214
TO;459;196
TO;460;197
TO;461;197
TO;462;192
TO;463;187
TO;464;199
TO;465;189
TO;466;223
TO;467;211
TO;468;191
TO;469;184
TO;470;192
TO;471;172
TO;472;198
TO;473;209
TO;474;196
TO;475;179
TO;476;180
TO;477;178
TO;478;192
TO;479;197
TO;480;193
TO;481;172
TO;482;191
TO;483;185
TO;484;170
TO;485;183
TO;486;186
TO;487;200
TO;488;157
TO;489;223
TO;490;193
TO;491;203
TO;492;166
TO;493;165
TO;494;172
TO;495;164
TO;496;168
TO;497;176
TO;498;172
TO;499;190
TO;500;167
TO;501;164
TO;502;194
TO;503;155
TO;504;162
TO;505;170
TO;506;147
TO;507;138
TO;508;170
TO;509;163
TO;510;167
TO;511;163
TO;512;155
TO;513;156
TO;514;157
TO;515;156
TO;516;144
TO;517;141
TO;518;156
TO;519;183
TO;520;149
TO;521;160
TO;522;161
TO;523;144
TO;524;162
TO;525;145
TO;526;142
