uf;segundos_depois;frequencia
ZZ;-1;990
ZZ;15;4
ZZ;16;19
ZZ;17;36
ZZ;18;93
ZZ;19;178
ZZ;20;310
ZZ;21;517
ZZ;22;764
ZZ;23;963
ZZ;24;1206
ZZ;25;1559
ZZ;26;1792
ZZ;27;2013
ZZ;28;2291
ZZ;29;2414
ZZ;30;2677
ZZ;31;2849
ZZ;32;3069
ZZ;33;3138
ZZ;34;3292
ZZ;35;3371
ZZ;36;3377
ZZ;37;3562
ZZ;38;3666
ZZ;39;3753
ZZ;40;3760
ZZ;41;3803
ZZ;42;3853
ZZ;43;3932
ZZ;44;4166
ZZ;45;4158
ZZ;46;4246
ZZ;47;4180
ZZ;48;4069
ZZ;49;4156
ZZ;50;4170
ZZ;51;4160
ZZ;52;4179
ZZ;53;4119
ZZ;54;4250
ZZ;55;4319
ZZ;56;4173
ZZ;57;4208
ZZ;58;4154
ZZ;59;4060
ZZ;60;4026
ZZ;61;3903
ZZ;62;3856
ZZ;63;3754
ZZ;64;3870
ZZ;65;3607
ZZ;66;3442
ZZ;67;3481
ZZ;68;3374
ZZ;69;3232
ZZ;70;3157
ZZ;71;3238
ZZ;72;3175
ZZ;73;2972
ZZ;74;2897
ZZ;75;2860
ZZ;76;2701
ZZ;77;2568
ZZ;78;2623
ZZ;79;2516
ZZ;80;2343
ZZ;81;2310
ZZ;82;2349
ZZ;83;2259
ZZ;84;2184
ZZ;85;2038
ZZ;86;1989
ZZ;87;1943
ZZ;88;1802
ZZ;89;1833
ZZ;90;1727
ZZ;91;1656
ZZ;92;1607
ZZ;93;1599
ZZ;94;1646
ZZ;95;1509
ZZ;96;1484
ZZ;97;1411
ZZ;98;1412
ZZ;99;1306
ZZ;100;1274
ZZ;101;1215
ZZ;102;1253
ZZ;103;1140
ZZ;104;1126
ZZ;105;1080
ZZ;106;1046
ZZ;107;1055
ZZ;108;979
ZZ;109;950
ZZ;110;1032
ZZ;111;923
ZZ;112;925
ZZ;113;870
ZZ;114;863
ZZ;115;791
ZZ;116;805
ZZ;117;848
ZZ;118;780
ZZ;119;738
ZZ;120;731
ZZ;121;696
ZZ;122;655
ZZ;123;664
ZZ;124;602
ZZ;125;638
ZZ;126;603
ZZ;127;610
ZZ;128;602
ZZ;129;586
ZZ;130;532
ZZ;131;508
ZZ;132;554
ZZ;133;491
ZZ;134;477
ZZ;135;508
ZZ;136;439
ZZ;137;444
ZZ;138;478
ZZ;139;426
ZZ;140;440
ZZ;141;428
ZZ;142;399
ZZ;143;427
ZZ;144;424
ZZ;145;404
ZZ;146;401
ZZ;147;375
ZZ;148;355
ZZ;149;383
ZZ;150;346
ZZ;151;386
ZZ;152;345
ZZ;153;348
ZZ;154;341
ZZ;155;315
ZZ;156;343
ZZ;157;323
ZZ;158;355
ZZ;159;316
ZZ;160;318
ZZ;161;276
ZZ;162;327
ZZ;163;321
ZZ;164;272
ZZ;165;282
ZZ;166;261
ZZ;167;272
ZZ;168;306
ZZ;169;248
ZZ;170;264
ZZ;171;267
ZZ;172;263
ZZ;173;250
ZZ;174;271
ZZ;175;238
ZZ;176;236
ZZ;177;233
ZZ;178;244
ZZ;179;213
ZZ;180;233
ZZ;181;211
ZZ;182;212
ZZ;183;224
ZZ;184;237
ZZ;185;199
ZZ;186;192
ZZ;187;225
ZZ;188;214
ZZ;189;228
ZZ;190;186
ZZ;191;222
ZZ;192;223
ZZ;193;172
ZZ;194;178
ZZ;195;224
ZZ;196;199
ZZ;197;179
ZZ;198;183
ZZ;199;211
ZZ;200;180
ZZ;201;191
ZZ;202;205
ZZ;203;160
ZZ;204;193
ZZ;205;172
ZZ;206;175
ZZ;207;182
ZZ;208;175
ZZ;209;175
ZZ;210;158
ZZ;211;171
ZZ;212;160
ZZ;213;183
ZZ;214;166
ZZ;215;160
ZZ;216;174
ZZ;217;163
ZZ;218;156
ZZ;219;173
ZZ;220;169
ZZ;221;120
